"Step","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_gt_rew_mean","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_gt_rew_mean__MIN","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_gt_rew_mean__MAX","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_gt_rew_mean","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_gt_rew_mean__MIN","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_gt_rew_mean__MAX","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_gt_rew_mean","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_gt_rew_mean__MIN","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_gt_rew_mean","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_gt_rew_mean__MAX","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_gt_rew_mean","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_gt_rew_mean__MIN","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_gt_rew_mean__MAX","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_gt_rew_mean","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_gt_rew_mean__MIN","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_gt_rew_mean__MAX"
"0","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","31.74734115600586","30.9921875","30.9921875","30.9921875","29.16927146911621","29.16927146911621","29.16927146911621","29.16927146911621","29.16927146911621","29.16927146911621"
"1","31.46808433532715","31.46808433532715","31.46808433532715","31.74734115600586","31.74734115600586","31.74734115600586","31.46808433532715","31.46808433532715","31.46808433532715","30.42447853088379","30.42447853088379","30.42447853088379","29.26822853088379","29.26822853088379","29.26822853088379","29.3984375","29.3984375","29.3984375"
"2","31.539894104003906","31.539894104003906","31.539894104003906","31.85904312133789","31.85904312133789","31.85904312133789","31.65691566467285","31.65691566467285","31.65691566467285","30.02864646911621","30.02864646911621","30.02864646911621","29.34114646911621","29.34114646911621","29.34114646911621","29.61197853088379","29.61197853088379","29.61197853088379"
"3","31.17021369934082","31.17021369934082","31.17021369934082","31.3244686126709","31.3244686126709","31.3244686126709","31.207447052001953","31.207447052001953","31.207447052001953","30.65104103088379","30.65104103088379","30.65104103088379","29.18489646911621","29.18489646911621","29.18489646911621","29.68229103088379","29.68229103088379","29.68229103088379"
"4","30.808509826660156","30.808509826660156","30.808509826660156","30.98670196533203","30.98670196533203","30.98670196533203","30.88829803466797","30.88829803466797","30.88829803466797","30.80729103088379","30.80729103088379","30.80729103088379","29.50260353088379","29.50260353088379","29.50260353088379","29.98697853088379","29.98697853088379","29.98697853088379"
"5","30.6994686126709","30.6994686126709","30.6994686126709","30.82712745666504","30.82712745666504","30.82712745666504","30.779254913330078","30.779254913330078","30.779254913330078","31.19010353088379","31.19010353088379","31.19010353088379","30.796875","30.796875","30.796875","31.46875","31.46875","31.46875"
"6","30.595745086669922","30.595745086669922","30.595745086669922","30.694149017333984","30.694149017333984","30.694149017333984","30.6755313873291","30.6755313873291","30.6755313873291","32.9375","32.9375","32.9375","31.75","31.75","31.75","31.92447853088379","31.92447853088379","31.92447853088379"
"7","30.417552947998047","30.417552947998047","30.417552947998047","30.56382942199707","30.56382942199707","30.56382942199707","30.56117057800293","30.56117057800293","30.56117057800293","32.42708206176758","32.42708206176758","32.42708206176758","31.68489646911621","31.68489646911621","31.68489646911621","31.71875","31.71875","31.71875"
"8","30.210105895996094","30.210105895996094","30.210105895996094","30.414894104003906","30.414894104003906","30.414894104003906","30.340425491333008","30.340425491333008","30.340425491333008","32.03385543823242","32.03385543823242","32.03385543823242","32.1640625","32.1640625","32.1640625","32.4765625","32.4765625","32.4765625"
"9","30.039894104003906","30.039894104003906","30.039894104003906","30.183509826660156","30.183509826660156","30.183509826660156","30.135639190673828","30.135639190673828","30.135639190673828","30.79166603088379","30.79166603088379","30.79166603088379","32.3671875","32.3671875","32.3671875","32.09375","32.09375","32.09375"
"10","29.944149017333984","29.944149017333984","29.944149017333984","30.117021560668945","30.117021560668945","30.117021560668945","30.101064682006836","30.101064682006836","30.101064682006836","30.9765625","30.9765625","30.9765625","33.6484375","33.6484375","33.6484375","32.625","32.625","32.625"
"11","29.880319595336914","29.880319595336914","29.880319595336914","29.96808433532715","29.96808433532715","29.96808433532715","29.95478630065918","29.95478630065918","29.95478630065918","29.93489646911621","29.93489646911621","29.93489646911621","33.76041793823242","33.76041793823242","33.76041793823242","33.85676956176758","33.85676956176758","33.85676956176758"
"12","29.62234115600586","29.62234115600586","29.62234115600586","29.70478630065918","29.70478630065918","29.70478630065918","29.68882942199707","29.68882942199707","29.68882942199707","31.50260353088379","31.50260353088379","31.50260353088379","34.0234375","34.0234375","34.0234375","33.51823043823242","33.51823043823242","33.51823043823242"
"13","29.3244686126709","29.3244686126709","29.3244686126709","29.332447052001953","29.332447052001953","29.332447052001953","29.279254913330078","29.279254913330078","29.279254913330078","30.64583396911621","30.64583396911621","30.64583396911621","33.69791793823242","33.69791793823242","33.69791793823242","34.67708206176758","34.67708206176758","34.67708206176758"
"14","29.130319595336914","29.130319595336914","29.130319595336914","29.117021560668945","29.117021560668945","29.117021560668945","29.026596069335938","29.026596069335938","29.026596069335938","32.79948043823242","32.79948043823242","32.79948043823242","33.48698043823242","33.48698043823242","33.48698043823242","35.09114456176758","35.09114456176758","35.09114456176758"
"15","28.885639190673828","28.885639190673828","28.885639190673828","28.78191566467285","28.78191566467285","28.78191566467285","28.73404312133789","28.73404312133789","28.73404312133789","30.3671875","30.3671875","30.3671875","33.296875","33.296875","33.296875","34.71614456176758","34.71614456176758","34.71614456176758"
"16","28.62234115600586","28.62234115600586","28.62234115600586","28.43617057800293","28.43617057800293","28.43617057800293","28.404254913330078","28.404254913330078","28.404254913330078","29.61979103088379","29.61979103088379","29.61979103088379","33.16145706176758","33.16145706176758","33.16145706176758","35.12760543823242","35.12760543823242","35.12760543823242"
"17","28.3005313873291","28.3005313873291","28.3005313873291","28.053192138671875","28.053192138671875","28.053192138671875","28.03191566467285","28.03191566467285","28.03191566467285","30.17708396911621","30.17708396911621","30.17708396911621","32.71875","32.71875","32.71875","35.03125","35.03125","35.03125"
"18","28.12765884399414","28.12765884399414","28.12765884399414","27.914894104003906","27.914894104003906","27.914894104003906","27.92021369934082","27.92021369934082","27.92021369934082","26.7109375","26.7109375","26.7109375","32.00520706176758","32.00520706176758","32.00520706176758","34.60676956176758","34.60676956176758","34.60676956176758"
"19","27.87765884399414","27.87765884399414","27.87765884399414","27.68617057800293","27.68617057800293","27.68617057800293","27.707447052001953","27.707447052001953","27.707447052001953","25.92447853088379","25.92447853088379","25.92447853088379","31.83854103088379","31.83854103088379","31.83854103088379","34.52604293823242","34.52604293823242","34.52604293823242"
"20","27.635639190673828","27.635639190673828","27.635639190673828","27.207447052001953","27.207447052001953","27.207447052001953","27.21808433532715","27.21808433532715","27.21808433532715","25.35416603088379","25.35416603088379","25.35416603088379","31.921875","31.921875","31.921875","35.53645706176758","35.53645706176758","35.53645706176758"
"21","27.25265884399414","27.25265884399414","27.25265884399414","26.87765884399414","26.87765884399414","26.87765884399414","26.893617630004883","26.893617630004883","26.893617630004883","25.81770896911621","25.81770896911621","25.81770896911621","31.29947853088379","31.29947853088379","31.29947853088379","36.25260543823242","36.25260543823242","36.25260543823242"
"22","27.12234115600586","27.12234115600586","27.12234115600586","26.84308433532715","26.84308433532715","26.84308433532715","26.86170196533203","26.86170196533203","26.86170196533203","23.92447853088379","23.92447853088379","23.92447853088379","31.26822853088379","31.26822853088379","31.26822853088379","36.23176956176758","36.23176956176758","36.23176956176758"
"23","27.380319595336914","27.380319595336914","27.380319595336914","26.726064682006836","26.726064682006836","26.726064682006836","26.784574508666992","26.784574508666992","26.784574508666992","28.36979103088379","28.36979103088379","28.36979103088379","31.32552146911621","31.32552146911621","31.32552146911621","36.70573043823242","36.70573043823242","36.70573043823242"
"24","27.4255313873291","27.4255313873291","27.4255313873291","26.64095687866211","26.64095687866211","26.64095687866211","26.694149017333984","26.694149017333984","26.694149017333984","25.99479103088379","25.99479103088379","25.99479103088379","30.921875","30.921875","30.921875","37.17448043823242","37.17448043823242","37.17448043823242"
"25","27.569149017333984","27.569149017333984","27.569149017333984","26.231382369995117","26.231382369995117","26.231382369995117","26.260639190673828","26.260639190673828","26.260639190673828","25.68489646911621","25.68489646911621","25.68489646911621","31.72135353088379","31.72135353088379","31.72135353088379","36.453125","36.453125","36.453125"
"26","28.220745086669922","28.220745086669922","28.220745086669922","25.93617057800293","25.93617057800293","25.93617057800293","25.965425491333008","25.965425491333008","25.965425491333008","25.11458396911621","25.11458396911621","25.11458396911621","31.1015625","31.1015625","31.1015625","37.65364456176758","37.65364456176758","37.65364456176758"
"27","28.45478630065918","28.45478630065918","28.45478630065918","25.60904312133789","25.60904312133789","25.60904312133789","25.63829803466797","25.63829803466797","25.63829803466797","31.77083396911621","31.77083396911621","31.77083396911621","30.671875","30.671875","30.671875","37.421875","37.421875","37.421875"
"28","28.98404312133789","28.98404312133789","28.98404312133789","25.45478630065918","25.45478630065918","25.45478630065918","25.71808433532715","25.71808433532715","25.71808433532715","30.921875","30.921875","30.921875","29.65104103088379","29.65104103088379","29.65104103088379","38.5859375","38.5859375","38.5859375"
"29","29.82978630065918","29.82978630065918","29.82978630065918","25.055850982666016","25.055850982666016","25.055850982666016","25.35904312133789","25.35904312133789","25.35904312133789","28.96614646911621","28.96614646911621","28.96614646911621","27.88541603088379","27.88541603088379","27.88541603088379","37.82291793823242","37.82291793823242","37.82291793823242"
"30","30.321807861328125","30.321807861328125","30.321807861328125","24.76329803466797","24.76329803466797","24.76329803466797","25.20212745666504","25.20212745666504","25.20212745666504","30.09895896911621","30.09895896911621","30.09895896911621","26.53125","26.53125","26.53125","39.13801956176758","39.13801956176758","39.13801956176758"
"31","30.885639190673828","30.885639190673828","30.885639190673828","24.351064682006836","24.351064682006836","24.351064682006836","24.82712745666504","24.82712745666504","24.82712745666504","30.02864646911621","30.02864646911621","30.02864646911621","26.03645896911621","26.03645896911621","26.03645896911621","40.078125","40.078125","40.078125"
"32","31.476064682006836","31.476064682006836","31.476064682006836","24.29521369934082","24.29521369934082","24.29521369934082","24.92021369934082","24.92021369934082","24.92021369934082","29.6640625","29.6640625","29.6640625","26.63541603088379","26.63541603088379","26.63541603088379","40.48958206176758","40.48958206176758","40.48958206176758"
"33","31.840425491333008","31.840425491333008","31.840425491333008","24.0505313873291","24.0505313873291","24.0505313873291","24.821807861328125","24.821807861328125","24.821807861328125","30.2109375","30.2109375","30.2109375","25.55208396911621","25.55208396911621","25.55208396911621","40.24479293823242","40.24479293823242","40.24479293823242"
"34","31.93882942199707","31.93882942199707","31.93882942199707","23.542552947998047","23.542552947998047","23.542552947998047","24.523935317993164","24.523935317993164","24.523935317993164","36.5234375","36.5234375","36.5234375","24.47916603088379","24.47916603088379","24.47916603088379","41.82291793823242","41.82291793823242","41.82291793823242"
"35","32.00265884399414","32.00265884399414","32.00265884399414","23.273935317993164","23.273935317993164","23.273935317993164","24.32712745666504","24.32712745666504","24.32712745666504","35.36458206176758","35.36458206176758","35.36458206176758","23.49479103088379","23.49479103088379","23.49479103088379","40.2421875","40.2421875","40.2421875"
"36","33.25798034667969","33.25798034667969","33.25798034667969","23.18882942199707","23.18882942199707","23.18882942199707","24.303192138671875","24.303192138671875","24.303192138671875","48.46354293823242","48.46354293823242","48.46354293823242","23.0234375","23.0234375","23.0234375","42.859375","42.859375","42.859375"
"37","33.37765884399414","33.37765884399414","33.37765884399414","22.86170196533203","22.86170196533203","22.86170196533203","24.164894104003906","24.164894104003906","24.164894104003906","52.1015625","52.1015625","52.1015625","23.09895896911621","23.09895896911621","23.09895896911621","41.23698043823242","41.23698043823242","41.23698043823242"
"38","34.50265884399414","34.50265884399414","34.50265884399414","22.619680404663086","22.619680404663086","22.619680404663086","24.06382942199707","24.06382942199707","24.06382942199707","52.92708206176758","52.92708206176758","52.92708206176758","23.90364646911621","23.90364646911621","23.90364646911621","43.52604293823242","43.52604293823242","43.52604293823242"
"39","35.821807861328125","35.821807861328125","35.821807861328125","22.305850982666016","22.305850982666016","22.305850982666016","23.840425491333008","23.840425491333008","23.840425491333008","55.76041793823242","55.76041793823242","55.76041793823242","23.56770896911621","23.56770896911621","23.56770896911621","44.42708206176758","44.42708206176758","44.42708206176758"
"40","37.3510627746582","37.3510627746582","37.3510627746582","22.159574508666992","22.159574508666992","22.159574508666992","24.651596069335938","24.651596069335938","24.651596069335938","65.578125","65.578125","65.578125","23.95833396911621","23.95833396911621","23.95833396911621","48.58333206176758","48.58333206176758","48.58333206176758"
