"Step","CartPole_flava-full_contrastive_20240425_151959 - global_step","CartPole_flava-full_contrastive_20240425_151959 - global_step__MIN","CartPole_flava-full_contrastive_20240425_151959 - global_step__MAX","CartPole_flava-full_contrastive_20240425_151531 - global_step","CartPole_flava-full_contrastive_20240425_151531 - global_step__MIN","CartPole_flava-full_contrastive_20240425_151531 - global_step__MAX","CartPole_flava-full_goal_baseline_reg_20240425_150737 - global_step","CartPole_flava-full_goal_baseline_reg_20240425_150737 - global_step__MIN","CartPole_flava-full_goal_baseline_reg_20240425_150737 - global_step__MAX","CartPole_flava-full_goal_baseline_reg_20240425_150202 - global_step","CartPole_flava-full_goal_baseline_reg_20240425_150202 - global_step__MIN","CartPole_flava-full_goal_baseline_reg_20240425_150202 - global_step__MAX","CartPole_flava-full_cosine_20240425_143913 - global_step","CartPole_flava-full_cosine_20240425_143913 - global_step__MIN","CartPole_flava-full_cosine_20240425_143913 - global_step__MAX","CartPole_flava-full_cosine_20240425_142155 - global_step","CartPole_flava-full_cosine_20240425_142155 - global_step__MIN","CartPole_flava-full_cosine_20240425_142155 - global_step__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - global_step","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - global_step__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - global_step__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - global_step","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - global_step__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - global_step__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - global_step","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - global_step__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - global_step__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - global_step","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - global_step__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - global_step__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - global_step","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - global_step__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - global_step__MAX","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - global_step","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - global_step__MIN","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - global_step__MAX","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - global_step","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - global_step__MIN","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - global_step__MAX","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - global_step","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - global_step__MIN","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - global_step__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - global_step","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - global_step__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - global_step__MAX","CartPole_CLIPConvNext_contrastive_20240423_123355 - global_step","CartPole_CLIPConvNext_contrastive_20240423_123355 - global_step__MIN","CartPole_CLIPConvNext_contrastive_20240423_123355 - global_step__MAX","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - global_step","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - global_step__MIN","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - global_step__MAX","CartPole_CLIPConvNext_cosine_20240422_093220 - global_step","CartPole_CLIPConvNext_cosine_20240422_093220 - global_step__MIN","CartPole_CLIPConvNext_cosine_20240422_093220 - global_step__MAX"
"25","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","115200","236800","236800","236800","236800","236800","236800","156800","156800","156800","156800","156800","156800"
"26","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","116800","243200","243200","243200","243200","243200","243200","160000","160000","160000","160000","160000","160000"
"27","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","118400","249600","249600","249600","249600","249600","249600","163200","163200","163200","163200","163200","163200"
"28","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","120000","256000","256000","256000","256000","256000","256000","166400","166400","166400","166400","166400","166400"
"29","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","121600","262400","262400","262400","262400","262400","262400","169600","169600","169600","169600","169600","169600"
"30","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","123200","268800","268800","268800","268800","268800","268800","172800","172800","172800","172800","172800","172800"
"31","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","124800","275200","275200","275200","275200","275200","275200","176000","176000","176000","176000","176000","176000"
"32","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","126400","281600","281600","281600","281600","281600","281600","179200","179200","179200","179200","179200","179200"
"33","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","128000","288000","288000","288000","288000","288000","288000","182400","182400","182400","182400","182400","182400"
"34","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","129600","294400","294400","294400","294400","294400","294400","185600","185600","185600","185600","185600","185600"
"35","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","131200","300800","300800","300800","300800","300800","300800","188800","188800","188800","188800","188800","188800"
"36","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","132800","307200","307200","307200","307200","307200","307200","192000","192000","192000","192000","192000","192000"
"37","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","134400","313600","313600","313600","313600","313600","313600","195200","195200","195200","195200","195200","195200"
"38","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","136000","320000","320000","320000","320000","320000","320000","198400","198400","198400","198400","198400","198400"
"39","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","137600","326400","326400","326400","326400","326400","326400","201600","201600","201600","201600","201600","201600"
"40","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","139200","332800","332800","332800","332800","332800","332800","204800","204800","204800","204800","204800","204800"
"41","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","140800","339200","339200","339200","339200","339200","339200","208000","208000","208000","208000","208000","208000"
"42","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","142400","345600","345600","345600","345600","345600","345600","211200","211200","211200","211200","211200","211200"
"43","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","144000","352000","352000","352000","352000","352000","352000","214400","214400","214400","214400","214400","214400"
"44","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","145600","358400","358400","358400","358400","358400","358400","217600","217600","217600","217600","217600","217600"
"45","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","147200","364800","364800","364800","364800","364800","364800","220800","220800","220800","220800","220800","220800"
"46","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","148800","371200","371200","371200","371200","371200","371200","224000","224000","224000","224000","224000","224000"
"47","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","150400","377600","377600","377600","377600","377600","377600","227200","227200","227200","227200","227200","227200"
"48","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","152000","384000","384000","384000","384000","384000","384000","230400","230400","230400","230400","230400","230400"
"49","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","153600","390400","390400","390400","390400","390400","390400","233600","233600","233600","233600","233600","233600"
"50","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","155200","396800","396800","396800","396800","396800","396800","236800","236800","236800","236800","236800","236800"
"51","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","156800","403200","403200","403200","403200","403200","403200","240000","240000","240000","240000","240000","240000"
"52","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","158400","409600","409600","409600","409600","409600","409600","243200","243200","243200","243200","243200","243200"
"53","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","416000","416000","416000","416000","416000","416000","246400","246400","246400","246400","246400","246400"
"54","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","161600","422400","422400","422400","422400","422400","422400","249600","249600","249600","249600","249600","249600"
"55","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","163200","428800","428800","428800","428800","428800","428800","252800","252800","252800","252800","252800","252800"
"56","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","164800","435200","435200","435200","435200","435200","435200","256000","256000","256000","256000","256000","256000"
"57","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","166400","441600","441600","441600","441600","441600","441600","259200","259200","259200","259200","259200","259200"
"58","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","168000","448000","448000","448000","448000","448000","448000","262400","262400","262400","262400","262400","262400"
"59","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","169600","454400","454400","454400","454400","454400","454400","265600","265600","265600","265600","265600","265600"
