"Step","CartPole_flava-full_contrastive_20240425_151959 - global_step","CartPole_flava-full_contrastive_20240425_151959 - global_step__MIN","CartPole_flava-full_contrastive_20240425_151959 - global_step__MAX","CartPole_flava-full_contrastive_20240425_151531 - global_step","CartPole_flava-full_contrastive_20240425_151531 - global_step__MIN","CartPole_flava-full_contrastive_20240425_151531 - global_step__MAX","CartPole_flava-full_goal_baseline_reg_20240425_150737 - global_step","CartPole_flava-full_goal_baseline_reg_20240425_150737 - global_step__MIN","CartPole_flava-full_goal_baseline_reg_20240425_150737 - global_step__MAX","CartPole_flava-full_goal_baseline_reg_20240425_150202 - global_step","CartPole_flava-full_goal_baseline_reg_20240425_150202 - global_step__MIN","CartPole_flava-full_goal_baseline_reg_20240425_150202 - global_step__MAX","CartPole_flava-full_cosine_20240425_143913 - global_step","CartPole_flava-full_cosine_20240425_143913 - global_step__MIN","CartPole_flava-full_cosine_20240425_143913 - global_step__MAX","CartPole_flava-full_cosine_20240425_142155 - global_step","CartPole_flava-full_cosine_20240425_142155 - global_step__MIN","CartPole_flava-full_cosine_20240425_142155 - global_step__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - global_step","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - global_step__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - global_step__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - global_step","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - global_step__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - global_step__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - global_step","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - global_step__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - global_step__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - global_step","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - global_step__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - global_step__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - global_step","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - global_step__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - global_step__MAX","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - global_step","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - global_step__MIN","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - global_step__MAX","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - global_step","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - global_step__MIN","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - global_step__MAX","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - global_step","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - global_step__MIN","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - global_step__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - global_step","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - global_step__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - global_step__MAX","CartPole_CLIPConvNext_contrastive_20240423_123355 - global_step","CartPole_CLIPConvNext_contrastive_20240423_123355 - global_step__MIN","CartPole_CLIPConvNext_contrastive_20240423_123355 - global_step__MAX","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - global_step","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - global_step__MIN","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - global_step__MAX","CartPole_CLIPConvNext_cosine_20240422_093220 - global_step","CartPole_CLIPConvNext_cosine_20240422_093220 - global_step__MIN","CartPole_CLIPConvNext_cosine_20240422_093220 - global_step__MAX"
"353","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","640000","2336000","2336000","2336000","2336000","2336000","2336000","1206400","1206400","1206400","1206400","1206400","1206400"
"354","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","641600","2342400","2342400","2342400","2342400","2342400","2342400","1209600","1209600","1209600","1209600","1209600","1209600"
"355","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","643200","2348800","2348800","2348800","2348800","2348800","2348800","1212800","1212800","1212800","1212800","1212800","1212800"
"356","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","644800","2355200","2355200","2355200","2355200","2355200","2355200","1216000","1216000","1216000","1216000","1216000","1216000"
"357","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","646400","2361600","2361600","2361600","2361600","2361600","2361600","1219200","1219200","1219200","1219200","1219200","1219200"
"358","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","648000","2368000","2368000","2368000","2368000","2368000","2368000","1222400","1222400","1222400","1222400","1222400","1222400"
"359","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","649600","2374400","2374400","2374400","2374400","2374400","2374400","1225600","1225600","1225600","1225600","1225600","1225600"
"360","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","651200","2380800","2380800","2380800","2380800","2380800","2380800","1228800","1228800","1228800","1228800","1228800","1228800"
"361","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","652800","2387200","2387200","2387200","2387200","2387200","2387200","1232000","1232000","1232000","1232000","1232000","1232000"
"362","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","654400","2393600","2393600","2393600","2393600","2393600","2393600","1235200","1235200","1235200","1235200","1235200","1235200"
"363","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","656000","2400000","2400000","2400000","2400000","2400000","2400000","1238400","1238400","1238400","1238400","1238400","1238400"
"364","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","657600","2406400","2406400","2406400","2406400","2406400","2406400","1241600","1241600","1241600","1241600","1241600","1241600"
"365","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","659200","2412800","2412800","2412800","2412800","2412800","2412800","1244800","1244800","1244800","1244800","1244800","1244800"
"366","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","660800","2419200","2419200","2419200","2419200","2419200","2419200","1248000","1248000","1248000","1248000","1248000","1248000"
"367","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","662400","2425600","2425600","2425600","2425600","2425600","2425600","1251200","1251200","1251200","1251200","1251200","1251200"
"368","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","664000","2432000","2432000","2432000","2432000","2432000","2432000","1254400","1254400","1254400","1254400","1254400","1254400"
"369","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","665600","2438400","2438400","2438400","2438400","2438400","2438400","1257600","1257600","1257600","1257600","1257600","1257600"
"370","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","667200","2444800","2444800","2444800","2444800","2444800","2444800","1260800","1260800","1260800","1260800","1260800","1260800"
"371","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","668800","2451200","2451200","2451200","2451200","2451200","2451200","1264000","1264000","1264000","1264000","1264000","1264000"
"372","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","670400","2457600","2457600","2457600","2457600","2457600","2457600","1267200","1267200","1267200","1267200","1267200","1267200"
"373","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","672000","2464000","2464000","2464000","2464000","2464000","2464000","1270400","1270400","1270400","1270400","1270400","1270400"
"374","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","673600","2470400","2470400","2470400","2470400","2470400","2470400","1273600","1273600","1273600","1273600","1273600","1273600"
"375","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","675200","2476800","2476800","2476800","2476800","2476800","2476800","1276800","1276800","1276800","1276800","1276800","1276800"
"376","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","676800","2483200","2483200","2483200","2483200","2483200","2483200","1280000","1280000","1280000","1280000","1280000","1280000"
"377","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","678400","2489600","2489600","2489600","2489600","2489600","2489600","1283200","1283200","1283200","1283200","1283200","1283200"
"378","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","680000","2496000","2496000","2496000","2496000","2496000","2496000","1286400","1286400","1286400","1286400","1286400","1286400"
"379","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","681600","2502400","2502400","2502400","2502400","2502400","2502400","1289600","1289600","1289600","1289600","1289600","1289600"
"380","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","683200","2508800","2508800","2508800","2508800","2508800","2508800","1292800","1292800","1292800","1292800","1292800","1292800"
"381","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","684800","2515200","2515200","2515200","2515200","2515200","2515200","1296000","1296000","1296000","1296000","1296000","1296000"
"382","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","686400","2521600","2521600","2521600","2521600","2521600","2521600","1299200","1299200","1299200","1299200","1299200","1299200"
"383","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","688000","2528000","2528000","2528000","2528000","2528000","2528000","1302400","1302400","1302400","1302400","1302400","1302400"
"384","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","689600","2534400","2534400","2534400","2534400","2534400","2534400","1305600","1305600","1305600","1305600","1305600","1305600"
"385","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","691200","2540800","2540800","2540800","2540800","2540800","2540800","1308800","1308800","1308800","1308800","1308800","1308800"
"386","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","692800","2547200","2547200","2547200","2547200","2547200","2547200","1312000","1312000","1312000","1312000","1312000","1312000"
"387","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","694400","2553600","2553600","2553600","2553600","2553600","2553600","1315200","1315200","1315200","1315200","1315200","1315200"
"388","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","696000","2560000","2560000","2560000","2560000","2560000","2560000","1318400","1318400","1318400","1318400","1318400","1318400"
"389","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","697600","2566400","2566400","2566400","2566400","2566400","2566400","1321600","1321600","1321600","1321600","1321600","1321600"
"390","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","699200","2572800","2572800","2572800","2572800","2572800","2572800","1324800","1324800","1324800","1324800","1324800","1324800"
"391","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","700800","2579200","2579200","2579200","2579200","2579200","2579200","1328000","1328000","1328000","1328000","1328000","1328000"
"392","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","702400","2585600","2585600","2585600","2585600","2585600","2585600","1331200","1331200","1331200","1331200","1331200","1331200"
"393","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","704000","2592000","2592000","2592000","2592000","2592000","2592000","1334400","1334400","1334400","1334400","1334400","1334400"
"394","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","705600","2598400","2598400","2598400","2598400","2598400","2598400","1337600","1337600","1337600","1337600","1337600","1337600"
"395","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","707200","2604800","2604800","2604800","2604800","2604800","2604800","1340800","1340800","1340800","1340800","1340800","1340800"
"396","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","708800","2611200","2611200","2611200","2611200","2611200","2611200","1344000","1344000","1344000","1344000","1344000","1344000"
"397","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","710400","2617600","2617600","2617600","2617600","2617600","2617600","1347200","1347200","1347200","1347200","1347200","1347200"
"398","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","712000","2624000","2624000","2624000","2624000","2624000","2624000","1350400","1350400","1350400","1350400","1350400","1350400"
"399","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","713600","2630400","2630400","2630400","2630400","2630400","2630400","1353600","1353600","1353600","1353600","1353600","1353600"
"400","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","715200","2636800","2636800","2636800","2636800","2636800","2636800","1356800","1356800","1356800","1356800","1356800","1356800"
"401","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","716800","2643200","2643200","2643200","2643200","2643200","2643200","1360000","1360000","1360000","1360000","1360000","1360000"
"402","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","718400","2649600","2649600","2649600","2649600","2649600","2649600","1363200","1363200","1363200","1363200","1363200","1363200"
"403","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","720000","2656000","2656000","2656000","2656000","2656000","2656000","1366400","1366400","1366400","1366400","1366400","1366400"
"404","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","721600","2662400","2662400","2662400","2662400","2662400","2662400","1369600","1369600","1369600","1369600","1369600","1369600"
"405","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","723200","2668800","2668800","2668800","2668800","2668800","2668800","1372800","1372800","1372800","1372800","1372800","1372800"
"406","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","724800","2675200","2675200","2675200","2675200","2675200","2675200","1376000","1376000","1376000","1376000","1376000","1376000"
"407","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","726400","2681600","2681600","2681600","2681600","2681600","2681600","1379200","1379200","1379200","1379200","1379200","1379200"
"408","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","728000","2688000","2688000","2688000","2688000","2688000","2688000","1382400","1382400","1382400","1382400","1382400","1382400"
"409","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","729600","2694400","2694400","2694400","2694400","2694400","2694400","1385600","1385600","1385600","1385600","1385600","1385600"
"410","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","731200","2700800","2700800","2700800","2700800","2700800","2700800","1388800","1388800","1388800","1388800","1388800","1388800"
"411","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","732800","2707200","2707200","2707200","2707200","2707200","2707200","1392000","1392000","1392000","1392000","1392000","1392000"
"412","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","734400","2713600","2713600","2713600","2713600","2713600","2713600","1395200","1395200","1395200","1395200","1395200","1395200"
"413","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","736000","2720000","2720000","2720000","2720000","2720000","2720000","1398400","1398400","1398400","1398400","1398400","1398400"
"414","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","737600","2726400","2726400","2726400","2726400","2726400","2726400","1401600","1401600","1401600","1401600","1401600","1401600"
"415","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","739200","2732800","2732800","2732800","2732800","2732800","2732800","1404800","1404800","1404800","1404800","1404800","1404800"
"416","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","740800","2739200","2739200","2739200","2739200","2739200","2739200","1408000","1408000","1408000","1408000","1408000","1408000"
"417","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","742400","2745600","2745600","2745600","2745600","2745600","2745600","1411200","1411200","1411200","1411200","1411200","1411200"
"418","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","744000","2752000","2752000","2752000","2752000","2752000","2752000","1414400","1414400","1414400","1414400","1414400","1414400"
"419","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","745600","2758400","2758400","2758400","2758400","2758400","2758400","1417600","1417600","1417600","1417600","1417600","1417600"
