"Step","CartPole_siglip-base-patch16-224k_contrastive_20240426_194149 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240426_194149 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240426_194149 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240426_193951 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240426_193951 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240426_193951 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_193614 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_193614 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_193614 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240426_193423 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240426_193423 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240426_193423 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240426_193211 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240426_193211 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240426_193211 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_192935 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_192935 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_192935 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240426_192417 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240426_192417 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240426_192417 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240426_160730 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240426_160730 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240426_160730 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_clip_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_clip_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_clip_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_clip_rew_mean__MAX"
"10","-2.327023983001709","-2.327023983001709","-2.327023983001709","-2.327141761779785","-2.327141761779785","-2.327141761779785","197.05970764160156","197.05970764160156","197.05970764160156","9.417451858520508","9.417451858520508","9.417451858520508","9.726034164428711","9.726034164428711","9.726034164428711","197.0109100341797","197.0109100341797","197.0109100341797","-2.51387095451355","-2.51387095451355","-2.51387095451355","-2.5164473056793213","-2.5164473056793213","-2.5164473056793213","11.71214485168457","11.71214485168457","11.71214485168457","12.04404354095459","12.04404354095459","12.04404354095459","11.409245491027832","11.409245491027832","11.409245491027832","196.23402404785156","196.23402404785156","196.23402404785156","196.2917938232422","196.2917938232422","196.2917938232422"
"11","-2.3309926986694336","-2.3309926986694336","-2.3309926986694336","-2.332428455352783","-2.332428455352783","-2.332428455352783","197.05914306640625","197.05914306640625","197.05914306640625","9.430432319641113","9.430432319641113","9.430432319641113","9.764068603515625","9.764068603515625","9.764068603515625","197.00506591796875","197.00506591796875","197.00506591796875","-2.5278608798980713","-2.5278608798980713","-2.5278608798980713","-2.5299620628356934","-2.5299620628356934","-2.5299620628356934","11.697990417480469","11.697990417480469","11.697990417480469","12.043746948242188","12.043746948242188","12.043746948242188","11.404519081115723","11.404519081115723","11.404519081115723","196.23097229003906","196.23097229003906","196.23097229003906","196.2975311279297","196.2975311279297","196.2975311279297"
"12","-2.3328895568847656","-2.3328895568847656","-2.3328895568847656","-2.332972288131714","-2.332972288131714","-2.332972288131714","197.05709838867188","197.05709838867188","197.05709838867188","9.420487403869629","9.420487403869629","9.420487403869629","9.768990516662598","9.768990516662598","9.768990516662598","197.00242614746094","197.00242614746094","197.00242614746094","-2.5355679988861084","-2.5355679988861084","-2.5355679988861084","-2.5372650623321533","-2.5372650623321533","-2.5372650623321533","11.663823127746582","11.663823127746582","11.663823127746582","12.042387962341309","12.042387962341309","12.042387962341309","11.395597457885742","11.395597457885742","11.395597457885742","196.2284698486328","196.2284698486328","196.2284698486328","196.28433227539062","196.28433227539062","196.28433227539062"
"13","-2.343043804168701","-2.343043804168701","-2.343043804168701","-2.340888023376465","-2.340888023376465","-2.340888023376465","197.05599975585938","197.05599975585938","197.05599975585938","9.395739555358887","9.395739555358887","9.395739555358887","9.781012535095215","9.781012535095215","9.781012535095215","197.00364685058594","197.00364685058594","197.00364685058594","-2.5259175300598145","-2.5259175300598145","-2.5259175300598145","-2.5239248275756836","-2.5239248275756836","-2.5239248275756836","11.592571258544922","11.592571258544922","11.592571258544922","12.079012870788574","12.079012870788574","12.079012870788574","11.39602279663086","11.39602279663086","11.39602279663086","196.22244262695312","196.22244262695312","196.22244262695312","196.2969512939453","196.2969512939453","196.2969512939453"
"14","-2.3410253524780273","-2.3410253524780273","-2.3410253524780273","-2.335034132003784","-2.335034132003784","-2.335034132003784","197.0531768798828","197.0531768798828","197.0531768798828","9.387381553649902","9.387381553649902","9.387381553649902","9.804346084594727","9.804346084594727","9.804346084594727","197.0019989013672","197.0019989013672","197.0019989013672","-2.5306081771850586","-2.5306081771850586","-2.5306081771850586","-2.526278495788574","-2.526278495788574","-2.526278495788574","11.583563804626465","11.583563804626465","11.583563804626465","12.096235275268555","12.096235275268555","12.096235275268555","11.407861709594727","11.407861709594727","11.407861709594727","196.22059631347656","196.22059631347656","196.22059631347656","196.2862548828125","196.2862548828125","196.2862548828125"
"15","-2.352047920227051","-2.352047920227051","-2.352047920227051","-2.3473117351531982","-2.3473117351531982","-2.3473117351531982","197.05348205566406","197.05348205566406","197.05348205566406","9.364680290222168","9.364680290222168","9.364680290222168","9.85905933380127","9.85905933380127","9.85905933380127","196.9989013671875","196.9989013671875","196.9989013671875","-2.5213353633880615","-2.5213353633880615","-2.5213353633880615","-2.509882926940918","-2.509882926940918","-2.509882926940918","11.574347496032715","11.574347496032715","11.574347496032715","12.131181716918945","12.131181716918945","12.131181716918945","11.424179077148438","11.424179077148438","11.424179077148438","196.2178955078125","196.2178955078125","196.2178955078125","196.2826690673828","196.2826690673828","196.2826690673828"
"16","-2.346447706222534","-2.346447706222534","-2.346447706222534","-2.343197822570801","-2.343197822570801","-2.343197822570801","197.05210876464844","197.05210876464844","197.05210876464844","9.335506439208984","9.335506439208984","9.335506439208984","9.86043930053711","9.86043930053711","9.86043930053711","196.9997100830078","196.9997100830078","196.9997100830078","-2.511362075805664","-2.511362075805664","-2.511362075805664","-2.5067636966705322","-2.5067636966705322","-2.5067636966705322","11.5154447555542","11.5154447555542","11.5154447555542","12.137866020202637","12.137866020202637","12.137866020202637","11.405441284179688","11.405441284179688","11.405441284179688","196.21322631835938","196.21322631835938","196.21322631835938","196.29136657714844","196.29136657714844","196.29136657714844"
"17","-2.3699898719787598","-2.3699898719787598","-2.3699898719787598","-2.367429733276367","-2.367429733276367","-2.367429733276367","197.048828125","197.048828125","197.048828125","9.316128730773926","9.316128730773926","9.316128730773926","9.865483283996582","9.865483283996582","9.865483283996582","197.0025177001953","197.0025177001953","197.0025177001953","-2.4983835220336914","-2.4983835220336914","-2.4983835220336914","-2.4978106021881104","-2.4978106021881104","-2.4978106021881104","11.507182121276855","11.507182121276855","11.507182121276855","12.142346382141113","12.142346382141113","12.142346382141113","11.413748741149902","11.413748741149902","11.413748741149902","196.21156311035156","196.21156311035156","196.21156311035156","196.2775115966797","196.2775115966797","196.2775115966797"
"18","-2.3743467330932617","-2.3743467330932617","-2.3743467330932617","-2.368852138519287","-2.368852138519287","-2.368852138519287","197.04742431640625","197.04742431640625","197.04742431640625","9.283492088317871","9.283492088317871","9.283492088317871","9.892938613891602","9.892938613891602","9.892938613891602","197.00238037109375","197.00238037109375","197.00238037109375","-2.4992332458496094","-2.4992332458496094","-2.4992332458496094","-2.4908194541931152","-2.4908194541931152","-2.4908194541931152","11.494343757629395","11.494343757629395","11.494343757629395","12.11614990234375","12.11614990234375","12.11614990234375","11.405095100402832","11.405095100402832","11.405095100402832","196.20843505859375","196.20843505859375","196.20843505859375","196.2726287841797","196.2726287841797","196.2726287841797"
"19","-2.386024236679077","-2.386024236679077","-2.386024236679077","-2.3797504901885986","-2.3797504901885986","-2.3797504901885986","197.04371643066406","197.04371643066406","197.04371643066406","9.27049446105957","9.27049446105957","9.27049446105957","9.952637672424316","9.952637672424316","9.952637672424316","196.99920654296875","196.99920654296875","196.99920654296875","-2.5068886280059814","-2.5068886280059814","-2.5068886280059814","-2.4964611530303955","-2.4964611530303955","-2.4964611530303955","11.510315895080566","11.510315895080566","11.510315895080566","12.167488098144531","12.167488098144531","12.167488098144531","11.422548294067383","11.422548294067383","11.422548294067383","196.20706176757812","196.20706176757812","196.20706176757812","196.26414489746094","196.26414489746094","196.26414489746094"
