"Step","CartPole_env_reward_99_MIDI3_tmux1 - rollout/ep_rew_mean","CartPole_env_reward_99_MIDI3_tmux1 - rollout/ep_rew_mean__MIN","CartPole_env_reward_99_MIDI3_tmux1 - rollout/ep_rew_mean__MAX","CartPole_env_reward_20240422_232316 - rollout/ep_rew_mean","CartPole_env_reward_20240422_232316 - rollout/ep_rew_mean__MIN","CartPole_env_reward_20240422_232316 - rollout/ep_rew_mean__MAX"
"0","30.625","30.625","30.625","31.8125","31.8125","31.8125"
"1","30.3125","30.3125","30.3125","30.734375","30.734375","30.734375"
"2","31.5","31.5","31.5","31.57291603088379","31.57291603088379","31.57291603088379"
"3","30.389999389648438","30.389999389648438","30.389999389648438","30.790000915527344","30.790000915527344","30.790000915527344"
"4","31.6200008392334","31.6200008392334","31.6200008392334","30.25","30.25","30.25"
"5","31.170000076293945","31.170000076293945","31.170000076293945","30.229999542236328","30.229999542236328","30.229999542236328"
"6","31.389999389648438","31.389999389648438","31.389999389648438","29.889999389648438","29.889999389648438","29.889999389648438"
"7","32.599998474121094","32.599998474121094","32.599998474121094","30.739999771118164","30.739999771118164","30.739999771118164"
"8","30.1299991607666","30.1299991607666","30.1299991607666","28.84000015258789","28.84000015258789","28.84000015258789"
"9","28.719999313354492","28.719999313354492","28.719999313354492","26.989999771118164","26.989999771118164","26.989999771118164"
"10","25.8700008392334","25.8700008392334","25.8700008392334","24.520000457763672","24.520000457763672","24.520000457763672"
"11","27.350000381469727","27.350000381469727","27.350000381469727","24.299999237060547","24.299999237060547","24.299999237060547"
"12","26.969999313354492","26.969999313354492","26.969999313354492","24.899999618530273","24.899999618530273","24.899999618530273"
"13","26.450000762939453","26.450000762939453","26.450000762939453","26.75","26.75","26.75"
"14","24.959999084472656","24.959999084472656","24.959999084472656","26.100000381469727","26.100000381469727","26.100000381469727"
"15","25.469999313354492","25.469999313354492","25.469999313354492","25.559999465942383","25.559999465942383","25.559999465942383"
"16","24.790000915527344","24.790000915527344","24.790000915527344","23.040000915527344","23.040000915527344","23.040000915527344"
"17","23.389999389648438","23.389999389648438","23.389999389648438","20.75","20.75","20.75"
"18","23.540000915527344","23.540000915527344","23.540000915527344","22.3700008392334","22.3700008392334","22.3700008392334"
"19","23.229999542236328","23.229999542236328","23.229999542236328","20.479999542236328","20.479999542236328","20.479999542236328"
"20","25.729999542236328","25.729999542236328","25.729999542236328","18.850000381469727","18.850000381469727","18.850000381469727"
"21","31.200000762939453","31.200000762939453","31.200000762939453","15.829999923706055","15.829999923706055","15.829999923706055"
"22","35.130001068115234","35.130001068115234","35.130001068115234","15.600000381469727","15.600000381469727","15.600000381469727"
"23","37.790000915527344","37.790000915527344","37.790000915527344","16.93000030517578","16.93000030517578","16.93000030517578"
