"Step","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - global_step","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - global_step__MIN","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - global_step__MAX","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - global_step","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - global_step__MIN","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - global_step__MAX","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - global_step","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - global_step__MIN","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - global_step__MAX","CartPole_blip-image-captioning-base_cosine_20240426_154807 - global_step","CartPole_blip-image-captioning-base_cosine_20240426_154807 - global_step__MIN","CartPole_blip-image-captioning-base_cosine_20240426_154807 - global_step__MAX","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - global_step","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - global_step__MIN","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - global_step__MAX","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - global_step","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - global_step__MIN","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - global_step__MAX","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - global_step","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - global_step__MIN","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - global_step__MAX","CartPole_blip-image-captioning-base_cosine_20240425_192124 - global_step","CartPole_blip-image-captioning-base_cosine_20240425_192124 - global_step__MIN","CartPole_blip-image-captioning-base_cosine_20240425_192124 - global_step__MAX"
"222","787200","787200","787200","787200","787200","787200","787200","787200","787200","787200","787200","787200","1497600","1497600","1497600","787200","787200","787200","787200","787200","787200","787200","787200","787200"
"223","790400","790400","790400","790400","790400","790400","790400","790400","790400","790400","790400","790400","1504000","1504000","1504000","790400","790400","790400","790400","790400","790400","790400","790400","790400"
"224","793600","793600","793600","793600","793600","793600","793600","793600","793600","793600","793600","793600","1510400","1510400","1510400","793600","793600","793600","793600","793600","793600","793600","793600","793600"
"225","796800","796800","796800","796800","796800","796800","796800","796800","796800","796800","796800","796800","1516800","1516800","1516800","796800","796800","796800","796800","796800","796800","796800","796800","796800"
"226","800000","800000","800000","800000","800000","800000","800000","800000","800000","800000","800000","800000","1523200","1523200","1523200","800000","800000","800000","800000","800000","800000","800000","800000","800000"
"227","803200","803200","803200","803200","803200","803200","803200","803200","803200","803200","803200","803200","1529600","1529600","1529600","803200","803200","803200","803200","803200","803200","803200","803200","803200"
"228","806400","806400","806400","806400","806400","806400","806400","806400","806400","806400","806400","806400","1536000","1536000","1536000","806400","806400","806400","806400","806400","806400","806400","806400","806400"
"229","809600","809600","809600","809600","809600","809600","809600","809600","809600","809600","809600","809600","1542400","1542400","1542400","809600","809600","809600","809600","809600","809600","809600","809600","809600"
"230","812800","812800","812800","812800","812800","812800","812800","812800","812800","812800","812800","812800","1548800","1548800","1548800","812800","812800","812800","812800","812800","812800","812800","812800","812800"
"231","816000","816000","816000","816000","816000","816000","816000","816000","816000","816000","816000","816000","1555200","1555200","1555200","816000","816000","816000","816000","816000","816000","816000","816000","816000"
"232","819200","819200","819200","819200","819200","819200","819200","819200","819200","819200","819200","819200","1561600","1561600","1561600","819200","819200","819200","819200","819200","819200","819200","819200","819200"
"233","822400","822400","822400","822400","822400","822400","822400","822400","822400","822400","822400","822400","1568000","1568000","1568000","822400","822400","822400","822400","822400","822400","822400","822400","822400"
"234","825600","825600","825600","825600","825600","825600","825600","825600","825600","825600","825600","825600","1574400","1574400","1574400","825600","825600","825600","825600","825600","825600","825600","825600","825600"
"235","828800","828800","828800","828800","828800","828800","828800","828800","828800","828800","828800","828800","1580800","1580800","1580800","828800","828800","828800","828800","828800","828800","828800","828800","828800"
"236","832000","832000","832000","832000","832000","832000","832000","832000","832000","832000","832000","832000","1587200","1587200","1587200","832000","832000","832000","832000","832000","832000","832000","832000","832000"
"237","835200","835200","835200","835200","835200","835200","835200","835200","835200","835200","835200","835200","1593600","1593600","1593600","835200","835200","835200","835200","835200","835200","835200","835200","835200"
"238","838400","838400","838400","838400","838400","838400","838400","838400","838400","838400","838400","838400","1600000","1600000","1600000","838400","838400","838400","838400","838400","838400","838400","838400","838400"
"239","841600","841600","841600","841600","841600","841600","841600","841600","841600","841600","841600","841600","1606400","1606400","1606400","841600","841600","841600","841600","841600","841600","841600","841600","841600"
"240","844800","844800","844800","844800","844800","844800","844800","844800","844800","844800","844800","844800","1612800","1612800","1612800","844800","844800","844800","844800","844800","844800","844800","844800","844800"
"241","848000","848000","848000","848000","848000","848000","848000","848000","848000","848000","848000","848000","1619200","1619200","1619200","848000","848000","848000","848000","848000","848000","848000","848000","848000"
"242","851200","851200","851200","851200","851200","851200","851200","851200","851200","851200","851200","851200","1625600","1625600","1625600","851200","851200","851200","851200","851200","851200","851200","851200","851200"
"243","854400","854400","854400","854400","854400","854400","854400","854400","854400","854400","854400","854400","1632000","1632000","1632000","854400","854400","854400","854400","854400","854400","854400","854400","854400"
"244","857600","857600","857600","857600","857600","857600","857600","857600","857600","857600","857600","857600","1638400","1638400","1638400","857600","857600","857600","857600","857600","857600","857600","857600","857600"
"245","860800","860800","860800","860800","860800","860800","860800","860800","860800","860800","860800","860800","1644800","1644800","1644800","860800","860800","860800","860800","860800","860800","860800","860800","860800"
"246","864000","864000","864000","864000","864000","864000","864000","864000","864000","864000","864000","864000","1651200","1651200","1651200","864000","864000","864000","864000","864000","864000","864000","864000","864000"
"247","867200","867200","867200","867200","867200","867200","867200","867200","867200","867200","867200","867200","1657600","1657600","1657600","867200","867200","867200","867200","867200","867200","867200","867200","867200"
"248","870400","870400","870400","870400","870400","870400","870400","870400","870400","870400","870400","870400","1664000","1664000","1664000","870400","870400","870400","870400","870400","870400","870400","870400","870400"
"249","873600","873600","873600","873600","873600","873600","873600","873600","873600","873600","873600","873600","1670400","1670400","1670400","873600","873600","873600","873600","873600","873600","873600","873600","873600"
"250","876800","876800","876800","876800","876800","876800","876800","876800","876800","876800","876800","876800","1676800","1676800","1676800","876800","876800","876800","876800","876800","876800","876800","876800","876800"
"251","880000","880000","880000","880000","880000","880000","880000","880000","880000","880000","880000","880000","1683200","1683200","1683200","880000","880000","880000","880000","880000","880000","880000","880000","880000"
"252","883200","883200","883200","883200","883200","883200","883200","883200","883200","883200","883200","883200","1689600","1689600","1689600","883200","883200","883200","883200","883200","883200","883200","883200","883200"
"253","886400","886400","886400","886400","886400","886400","886400","886400","886400","886400","886400","886400","1696000","1696000","1696000","886400","886400","886400","886400","886400","886400","886400","886400","886400"
"254","889600","889600","889600","889600","889600","889600","889600","889600","889600","889600","889600","889600","1702400","1702400","1702400","889600","889600","889600","889600","889600","889600","889600","889600","889600"
"255","892800","892800","892800","892800","892800","892800","892800","892800","892800","892800","892800","892800","1708800","1708800","1708800","892800","892800","892800","892800","892800","892800","892800","892800","892800"
"256","896000","896000","896000","896000","896000","896000","896000","896000","896000","896000","896000","896000","1715200","1715200","1715200","896000","896000","896000","896000","896000","896000","896000","896000","896000"
"257","899200","899200","899200","899200","899200","899200","899200","899200","899200","899200","899200","899200","1721600","1721600","1721600","899200","899200","899200","899200","899200","899200","899200","899200","899200"
"258","902400","902400","902400","902400","902400","902400","902400","902400","902400","902400","902400","902400","1728000","1728000","1728000","902400","902400","902400","902400","902400","902400","902400","902400","902400"
"259","905600","905600","905600","905600","905600","905600","905600","905600","905600","905600","905600","905600","1734400","1734400","1734400","905600","905600","905600","905600","905600","905600","905600","905600","905600"
"260","908800","908800","908800","908800","908800","908800","908800","908800","908800","908800","908800","908800","1740800","1740800","1740800","908800","908800","908800","908800","908800","908800","908800","908800","908800"
"261","912000","912000","912000","912000","912000","912000","912000","912000","912000","912000","912000","912000","1747200","1747200","1747200","912000","912000","912000","912000","912000","912000","912000","912000","912000"
"262","915200","915200","915200","915200","915200","915200","915200","915200","915200","915200","915200","915200","1753600","1753600","1753600","915200","915200","915200","915200","915200","915200","915200","915200","915200"
"263","918400","918400","918400","918400","918400","918400","918400","918400","918400","918400","918400","918400","1760000","1760000","1760000","918400","918400","918400","918400","918400","918400","918400","918400","918400"
"264","921600","921600","921600","921600","921600","921600","921600","921600","921600","921600","921600","921600","1766400","1766400","1766400","921600","921600","921600","921600","921600","921600","921600","921600","921600"
"265","924800","924800","924800","924800","924800","924800","924800","924800","924800","924800","924800","924800","1772800","1772800","1772800","924800","924800","924800","924800","924800","924800","924800","924800","924800"
"266","928000","928000","928000","928000","928000","928000","928000","928000","928000","928000","928000","928000","1779200","1779200","1779200","928000","928000","928000","928000","928000","928000","928000","928000","928000"
"267","931200","931200","931200","931200","931200","931200","931200","931200","931200","931200","931200","931200","1785600","1785600","1785600","931200","931200","931200","931200","931200","931200","931200","931200","931200"
"268","934400","934400","934400","934400","934400","934400","934400","934400","934400","934400","934400","934400","1792000","1792000","1792000","934400","934400","934400","934400","934400","934400","934400","934400","934400"
"269","937600","937600","937600","937600","937600","937600","937600","937600","937600","937600","937600","937600","1798400","1798400","1798400","937600","937600","937600","937600","937600","937600","937600","937600","937600"
"270","940800","940800","940800","940800","940800","940800","940800","940800","940800","940800","940800","940800","1804800","1804800","1804800","940800","940800","940800","940800","940800","940800","940800","940800","940800"
"271","944000","944000","944000","944000","944000","944000","944000","944000","944000","944000","944000","944000","1811200","1811200","1811200","944000","944000","944000","944000","944000","944000","944000","944000","944000"
"272","947200","947200","947200","947200","947200","947200","947200","947200","947200","947200","947200","947200","1817600","1817600","1817600","947200","947200","947200","947200","947200","947200","947200","947200","947200"
"273","950400","950400","950400","950400","950400","950400","950400","950400","950400","950400","950400","950400","1824000","1824000","1824000","950400","950400","950400","950400","950400","950400","950400","950400","950400"
"274","953600","953600","953600","953600","953600","953600","953600","953600","953600","953600","953600","953600","1830400","1830400","1830400","953600","953600","953600","953600","953600","953600","953600","953600","953600"
"275","956800","956800","956800","956800","956800","956800","956800","956800","956800","956800","956800","956800","1836800","1836800","1836800","956800","956800","956800","956800","956800","956800","956800","956800","956800"
"276","960000","960000","960000","960000","960000","960000","960000","960000","960000","960000","960000","960000","1843200","1843200","1843200","960000","960000","960000","960000","960000","960000","960000","960000","960000"
"277","963200","963200","963200","963200","963200","963200","963200","963200","963200","963200","963200","963200","1849600","1849600","1849600","963200","963200","963200","963200","963200","963200","963200","963200","963200"
"278","966400","966400","966400","966400","966400","966400","966400","966400","966400","966400","966400","966400","1856000","1856000","1856000","966400","966400","966400","966400","966400","966400","966400","966400","966400"
"279","969600","969600","969600","969600","969600","969600","969600","969600","969600","969600","969600","969600","1862400","1862400","1862400","969600","969600","969600","969600","969600","969600","969600","969600","969600"
"280","972800","972800","972800","972800","972800","972800","972800","972800","972800","972800","972800","972800","1868800","1868800","1868800","972800","972800","972800","972800","972800","972800","972800","972800","972800"
"281","976000","976000","976000","976000","976000","976000","976000","976000","976000","976000","976000","976000","1875200","1875200","1875200","976000","976000","976000","976000","976000","976000","976000","976000","976000"
"282","979200","979200","979200","979200","979200","979200","979200","979200","979200","979200","979200","979200","1881600","1881600","1881600","979200","979200","979200","979200","979200","979200","979200","979200","979200"
"283","982400","982400","982400","982400","982400","982400","982400","982400","982400","982400","982400","982400","1888000","1888000","1888000","982400","982400","982400","982400","982400","982400","982400","982400","982400"
"284","985600","985600","985600","985600","985600","985600","985600","985600","985600","985600","985600","985600","1894400","1894400","1894400","985600","985600","985600","985600","985600","985600","985600","985600","985600"
"285","988800","988800","988800","988800","988800","988800","988800","988800","988800","988800","988800","988800","1900800","1900800","1900800","988800","988800","988800","988800","988800","988800","988800","988800","988800"
"286","992000","992000","992000","992000","992000","992000","992000","992000","992000","992000","992000","992000","1907200","1907200","1907200","992000","992000","992000","992000","992000","992000","992000","992000","992000"
"287","995200","995200","995200","995200","995200","995200","995200","995200","995200","995200","995200","995200","1913600","1913600","1913600","995200","995200","995200","995200","995200","995200","995200","995200","995200"
"288","998400","998400","998400","998400","998400","998400","998400","998400","998400","998400","998400","998400","1920000","1920000","1920000","998400","998400","998400","998400","998400","998400","998400","998400","998400"
"289","1001600","1001600","1001600","1001600","1001600","1001600","1001600","1001600","1001600","1001600","1001600","1001600","1926400","1926400","1926400","1001600","1001600","1001600","1001600","1001600","1001600","1001600","1001600","1001600"
"290","1004800","1004800","1004800","1004800","1004800","1004800","1004800","1004800","1004800","1004800","1004800","1004800","1932800","1932800","1932800","1004800","1004800","1004800","1004800","1004800","1004800","1004800","1004800","1004800"
"291","1008000","1008000","1008000","1008000","1008000","1008000","1008000","1008000","1008000","1008000","1008000","1008000","1939200","1939200","1939200","1008000","1008000","1008000","1008000","1008000","1008000","1008000","1008000","1008000"
"292","1011200","1011200","1011200","1011200","1011200","1011200","1011200","1011200","1011200","1011200","1011200","1011200","1945600","1945600","1945600","1011200","1011200","1011200","1011200","1011200","1011200","1011200","1011200","1011200"
"293","1014400","1014400","1014400","1014400","1014400","1014400","1014400","1014400","1014400","1014400","1014400","1014400","1952000","1952000","1952000","1014400","1014400","1014400","1014400","1014400","1014400","1014400","1014400","1014400"
"294","1017600","1017600","1017600","1017600","1017600","1017600","1017600","1017600","1017600","1017600","1017600","1017600","1958400","1958400","1958400","1017600","1017600","1017600","1017600","1017600","1017600","1017600","1017600","1017600"
"295","1020800","1020800","1020800","1020800","1020800","1020800","1020800","1020800","1020800","1020800","1020800","1020800","1964800","1964800","1964800","1020800","1020800","1020800","1020800","1020800","1020800","1020800","1020800","1020800"
"296","1024000","1024000","1024000","1024000","1024000","1024000","1024000","1024000","1024000","1024000","1024000","1024000","1971200","1971200","1971200","1024000","1024000","1024000","1024000","1024000","1024000","1024000","1024000","1024000"
"297","1027200","1027200","1027200","1027200","1027200","1027200","1027200","1027200","1027200","1027200","1027200","1027200","1977600","1977600","1977600","1027200","1027200","1027200","1027200","1027200","1027200","1027200","1027200","1027200"
"298","1030400","1030400","1030400","1030400","1030400","1030400","1030400","1030400","1030400","1030400","1030400","1030400","1984000","1984000","1984000","1030400","1030400","1030400","1030400","1030400","1030400","1030400","1030400","1030400"
"299","1033600","1033600","1033600","1033600","1033600","1033600","1033600","1033600","1033600","1033600","1033600","1033600","1990400","1990400","1990400","1033600","1033600","1033600","1033600","1033600","1033600","1033600","1033600","1033600"
"300","1036800","1036800","1036800","1036800","1036800","1036800","1036800","1036800","1036800","1036800","1036800","1036800","1996800","1996800","1996800","1036800","1036800","1036800","1036800","1036800","1036800","1036800","1036800","1036800"
"301","1040000","1040000","1040000","1040000","1040000","1040000","1040000","1040000","1040000","1040000","1040000","1040000","2003200","2003200","2003200","1040000","1040000","1040000","1040000","1040000","1040000","1040000","1040000","1040000"
"302","1043200","1043200","1043200","1043200","1043200","1043200","1043200","1043200","1043200","1043200","1043200","1043200","2009600","2009600","2009600","1043200","1043200","1043200","1043200","1043200","1043200","1043200","1043200","1043200"
"303","1046400","1046400","1046400","1046400","1046400","1046400","1046400","1046400","1046400","1046400","1046400","1046400","2016000","2016000","2016000","1046400","1046400","1046400","1046400","1046400","1046400","1046400","1046400","1046400"
"304","1049600","1049600","1049600","1049600","1049600","1049600","1049600","1049600","1049600","1049600","1049600","1049600","2022400","2022400","2022400","1049600","1049600","1049600","1049600","1049600","1049600","1049600","1049600","1049600"
"305","1052800","1052800","1052800","1052800","1052800","1052800","1052800","1052800","1052800","1052800","1052800","1052800","2028800","2028800","2028800","1052800","1052800","1052800","1052800","1052800","1052800","1052800","1052800","1052800"
"306","1056000","1056000","1056000","1056000","1056000","1056000","1056000","1056000","1056000","1056000","1056000","1056000","2035200","2035200","2035200","1056000","1056000","1056000","1056000","1056000","1056000","1056000","1056000","1056000"
"307","1059200","1059200","1059200","1059200","1059200","1059200","1059200","1059200","1059200","1059200","1059200","1059200","2041600","2041600","2041600","1059200","1059200","1059200","1059200","1059200","1059200","1059200","1059200","1059200"
"308","1062400","1062400","1062400","1062400","1062400","1062400","1062400","1062400","1062400","1062400","1062400","1062400","2048000","2048000","2048000","1062400","1062400","1062400","1062400","1062400","1062400","1062400","1062400","1062400"
"309","1065600","1065600","1065600","1065600","1065600","1065600","1065600","1065600","1065600","1065600","1065600","1065600","2054400","2054400","2054400","1065600","1065600","1065600","1065600","1065600","1065600","1065600","1065600","1065600"
"310","1068800","1068800","1068800","1068800","1068800","1068800","1068800","1068800","1068800","1068800","1068800","1068800","2060800","2060800","2060800","1068800","1068800","1068800","1068800","1068800","1068800","1068800","1068800","1068800"
"311","1072000","1072000","1072000","1072000","1072000","1072000","1072000","1072000","1072000","1072000","1072000","1072000","2067200","2067200","2067200","1072000","1072000","1072000","1072000","1072000","1072000","1072000","1072000","1072000"
"312","1075200","1075200","1075200","1075200","1075200","1075200","1075200","1075200","1075200","1075200","1075200","1075200","2073600","2073600","2073600","1075200","1075200","1075200","1075200","1075200","1075200","1075200","1075200","1075200"
"313","1078400","1078400","1078400","1078400","1078400","1078400","1078400","1078400","1078400","1078400","1078400","1078400","2080000","2080000","2080000","1078400","1078400","1078400","1078400","1078400","1078400","1078400","1078400","1078400"
"314","1081600","1081600","1081600","1081600","1081600","1081600","1081600","1081600","1081600","1081600","1081600","1081600","2086400","2086400","2086400","1081600","1081600","1081600","1081600","1081600","1081600","1081600","1081600","1081600"
"315","1084800","1084800","1084800","1084800","1084800","1084800","1084800","1084800","1084800","1084800","1084800","1084800","2092800","2092800","2092800","1084800","1084800","1084800","1084800","1084800","1084800","1084800","1084800","1084800"
"316","1088000","1088000","1088000","1088000","1088000","1088000","1088000","1088000","1088000","1088000","1088000","1088000","2099200","2099200","2099200","1088000","1088000","1088000","1088000","1088000","1088000","1088000","1088000","1088000"
"317","1091200","1091200","1091200","1091200","1091200","1091200","1091200","1091200","1091200","1091200","1091200","1091200","2105600","2105600","2105600","1091200","1091200","1091200","1091200","1091200","1091200","1091200","1091200","1091200"
"318","1094400","1094400","1094400","1094400","1094400","1094400","1094400","1094400","1094400","1094400","1094400","1094400","2112000","2112000","2112000","1094400","1094400","1094400","1094400","1094400","1094400","1094400","1094400","1094400"
"319","1097600","1097600","1097600","1097600","1097600","1097600","1097600","1097600","1097600","1097600","1097600","1097600","2118400","2118400","2118400","1097600","1097600","1097600","1097600","1097600","1097600","1097600","1097600","1097600"
"320","1100800","1100800","1100800","1100800","1100800","1100800","1100800","1100800","1100800","1100800","1100800","1100800","2124800","2124800","2124800","1100800","1100800","1100800","1100800","1100800","1100800","1100800","1100800","1100800"
"321","1104000","1104000","1104000","1104000","1104000","1104000","1104000","1104000","1104000","1104000","1104000","1104000","2131200","2131200","2131200","1104000","1104000","1104000","1104000","1104000","1104000","1104000","1104000","1104000"
"322","1107200","1107200","1107200","1107200","1107200","1107200","1107200","1107200","1107200","1107200","1107200","1107200","2137600","2137600","2137600","1107200","1107200","1107200","1107200","1107200","1107200","1107200","1107200","1107200"
"323","1110400","1110400","1110400","1110400","1110400","1110400","1110400","1110400","1110400","1110400","1110400","1110400","2144000","2144000","2144000","1110400","1110400","1110400","1110400","1110400","1110400","1110400","1110400","1110400"
"324","1113600","1113600","1113600","1113600","1113600","1113600","1113600","1113600","1113600","1113600","1113600","1113600","2150400","2150400","2150400","1113600","1113600","1113600","1113600","1113600","1113600","1113600","1113600","1113600"
"325","1116800","1116800","1116800","1116800","1116800","1116800","1116800","1116800","1116800","1116800","1116800","1116800","2156800","2156800","2156800","1116800","1116800","1116800","1116800","1116800","1116800","1116800","1116800","1116800"
"326","1120000","1120000","1120000","1120000","1120000","1120000","1120000","1120000","1120000","1120000","1120000","1120000","2163200","2163200","2163200","1120000","1120000","1120000","1120000","1120000","1120000","1120000","1120000","1120000"
"327","1123200","1123200","1123200","1123200","1123200","1123200","1123200","1123200","1123200","1123200","1123200","1123200","2169600","2169600","2169600","1123200","1123200","1123200","1123200","1123200","1123200","1123200","1123200","1123200"
"328","1126400","1126400","1126400","1126400","1126400","1126400","1126400","1126400","1126400","1126400","1126400","1126400","2176000","2176000","2176000","1126400","1126400","1126400","1126400","1126400","1126400","1126400","1126400","1126400"
"329","1129600","1129600","1129600","1129600","1129600","1129600","1129600","1129600","1129600","1129600","1129600","1129600","2182400","2182400","2182400","1129600","1129600","1129600","1129600","1129600","1129600","1129600","1129600","1129600"
"330","1132800","1132800","1132800","1132800","1132800","1132800","1132800","1132800","1132800","1132800","1132800","1132800","2188800","2188800","2188800","1132800","1132800","1132800","1132800","1132800","1132800","1132800","1132800","1132800"
"331","1136000","1136000","1136000","1136000","1136000","1136000","1136000","1136000","1136000","1136000","1136000","1136000","2195200","2195200","2195200","1136000","1136000","1136000","1136000","1136000","1136000","1136000","1136000","1136000"
"332","1139200","1139200","1139200","1139200","1139200","1139200","1139200","1139200","1139200","1139200","1139200","1139200","2201600","2201600","2201600","1139200","1139200","1139200","1139200","1139200","1139200","1139200","1139200","1139200"
"333","1142400","1142400","1142400","1142400","1142400","1142400","1142400","1142400","1142400","1142400","1142400","1142400","2208000","2208000","2208000","1142400","1142400","1142400","1142400","1142400","1142400","1142400","1142400","1142400"
"334","1145600","1145600","1145600","1145600","1145600","1145600","1145600","1145600","1145600","1145600","1145600","1145600","2214400","2214400","2214400","1145600","1145600","1145600","1145600","1145600","1145600","1145600","1145600","1145600"
"335","1148800","1148800","1148800","1148800","1148800","1148800","1148800","1148800","1148800","1148800","1148800","1148800","2220800","2220800","2220800","1148800","1148800","1148800","1148800","1148800","1148800","1148800","1148800","1148800"
"336","1152000","1152000","1152000","1152000","1152000","1152000","1152000","1152000","1152000","1152000","1152000","1152000","2227200","2227200","2227200","1152000","1152000","1152000","1152000","1152000","1152000","1152000","1152000","1152000"
"337","1155200","1155200","1155200","1155200","1155200","1155200","1155200","1155200","1155200","1155200","1155200","1155200","2233600","2233600","2233600","1155200","1155200","1155200","1155200","1155200","1155200","1155200","1155200","1155200"
"338","1158400","1158400","1158400","1158400","1158400","1158400","1158400","1158400","1158400","1158400","1158400","1158400","2240000","2240000","2240000","1158400","1158400","1158400","1158400","1158400","1158400","1158400","1158400","1158400"
"339","1161600","1161600","1161600","1161600","1161600","1161600","1161600","1161600","1161600","1161600","1161600","1161600","2246400","2246400","2246400","1161600","1161600","1161600","1161600","1161600","1161600","1161600","1161600","1161600"
"340","1164800","1164800","1164800","1164800","1164800","1164800","1164800","1164800","1164800","1164800","1164800","1164800","2252800","2252800","2252800","1164800","1164800","1164800","1164800","1164800","1164800","1164800","1164800","1164800"
"341","1168000","1168000","1168000","1168000","1168000","1168000","1168000","1168000","1168000","1168000","1168000","1168000","2259200","2259200","2259200","1168000","1168000","1168000","1168000","1168000","1168000","1168000","1168000","1168000"
"342","1171200","1171200","1171200","1171200","1171200","1171200","1171200","1171200","1171200","1171200","1171200","1171200","2265600","2265600","2265600","1171200","1171200","1171200","1171200","1171200","1171200","1171200","1171200","1171200"
"343","1174400","1174400","1174400","1174400","1174400","1174400","1174400","1174400","1174400","1174400","1174400","1174400","2272000","2272000","2272000","1174400","1174400","1174400","1174400","1174400","1174400","1174400","1174400","1174400"
"344","1177600","1177600","1177600","1177600","1177600","1177600","1177600","1177600","1177600","1177600","1177600","1177600","2278400","2278400","2278400","1177600","1177600","1177600","1177600","1177600","1177600","1177600","1177600","1177600"
"345","1180800","1180800","1180800","1180800","1180800","1180800","1180800","1180800","1180800","1180800","1180800","1180800","2284800","2284800","2284800","1180800","1180800","1180800","1180800","1180800","1180800","1180800","1180800","1180800"
"346","1184000","1184000","1184000","1184000","1184000","1184000","1184000","1184000","1184000","1184000","1184000","1184000","2291200","2291200","2291200","1184000","1184000","1184000","1184000","1184000","1184000","1184000","1184000","1184000"
"347","1187200","1187200","1187200","1187200","1187200","1187200","1187200","1187200","1187200","1187200","1187200","1187200","2297600","2297600","2297600","1187200","1187200","1187200","1187200","1187200","1187200","1187200","1187200","1187200"
"348","1190400","1190400","1190400","1190400","1190400","1190400","1190400","1190400","1190400","1190400","1190400","1190400","2304000","2304000","2304000","1190400","1190400","1190400","1190400","1190400","1190400","1190400","1190400","1190400"
"349","1193600","1193600","1193600","1193600","1193600","1193600","1193600","1193600","1193600","1193600","1193600","1193600","2310400","2310400","2310400","1193600","1193600","1193600","1193600","1193600","1193600","1193600","1193600","1193600"
"350","1196800","1196800","1196800","1196800","1196800","1196800","1196800","1196800","1196800","1196800","1196800","1196800","2316800","2316800","2316800","1196800","1196800","1196800","1196800","1196800","1196800","1196800","1196800","1196800"
"351","1200000","1200000","1200000","1200000","1200000","1200000","1200000","1200000","1200000","1200000","1200000","1200000","2323200","2323200","2323200","1200000","1200000","1200000","1200000","1200000","1200000","1200000","1200000","1200000"
"352","1203200","1203200","1203200","1203200","1203200","1203200","1203200","1203200","1203200","1203200","1203200","1203200","2329600","2329600","2329600","1203200","1203200","1203200","1203200","1203200","1203200","1203200","1203200","1203200"
"353","1206400","1206400","1206400","1206400","1206400","1206400","1206400","1206400","1206400","1206400","1206400","1206400","2336000","2336000","2336000","1206400","1206400","1206400","1206400","1206400","1206400","1206400","1206400","1206400"
"354","1209600","1209600","1209600","1209600","1209600","1209600","1209600","1209600","1209600","1209600","1209600","1209600","2342400","2342400","2342400","1209600","1209600","1209600","1209600","1209600","1209600","1209600","1209600","1209600"
"355","1212800","1212800","1212800","1212800","1212800","1212800","1212800","1212800","1212800","1212800","1212800","1212800","2348800","2348800","2348800","1212800","1212800","1212800","1212800","1212800","1212800","1212800","1212800","1212800"
"356","1216000","1216000","1216000","1216000","1216000","1216000","1216000","1216000","1216000","1216000","1216000","1216000","2355200","2355200","2355200","1216000","1216000","1216000","1216000","1216000","1216000","1216000","1216000","1216000"
"357","1219200","1219200","1219200","1219200","1219200","1219200","1219200","1219200","1219200","1219200","1219200","1219200","2361600","2361600","2361600","1219200","1219200","1219200","1219200","1219200","1219200","1219200","1219200","1219200"
"358","1222400","1222400","1222400","1222400","1222400","1222400","1222400","1222400","1222400","1222400","1222400","1222400","2368000","2368000","2368000","1222400","1222400","1222400","1222400","1222400","1222400","1222400","1222400","1222400"
"359","1225600","1225600","1225600","1225600","1225600","1225600","1225600","1225600","1225600","1225600","1225600","1225600","2374400","2374400","2374400","1225600","1225600","1225600","1225600","1225600","1225600","1225600","1225600","1225600"
"360","1228800","1228800","1228800","1228800","1228800","1228800","1228800","1228800","1228800","1228800","1228800","1228800","2380800","2380800","2380800","1228800","1228800","1228800","1228800","1228800","1228800","1228800","1228800","1228800"
"361","1232000","1232000","1232000","1232000","1232000","1232000","1232000","1232000","1232000","1232000","1232000","1232000","2387200","2387200","2387200","1232000","1232000","1232000","1232000","1232000","1232000","1232000","1232000","1232000"
"362","1235200","1235200","1235200","1235200","1235200","1235200","1235200","1235200","1235200","1235200","1235200","1235200","2393600","2393600","2393600","1235200","1235200","1235200","1235200","1235200","1235200","1235200","1235200","1235200"
"363","1238400","1238400","1238400","1238400","1238400","1238400","1238400","1238400","1238400","1238400","1238400","1238400","2400000","2400000","2400000","1238400","1238400","1238400","1238400","1238400","1238400","1238400","1238400","1238400"
"364","1241600","1241600","1241600","1241600","1241600","1241600","1241600","1241600","1241600","1241600","1241600","1241600","2406400","2406400","2406400","1241600","1241600","1241600","1241600","1241600","1241600","1241600","1241600","1241600"
"365","1244800","1244800","1244800","1244800","1244800","1244800","1244800","1244800","1244800","1244800","1244800","1244800","2412800","2412800","2412800","1244800","1244800","1244800","1244800","1244800","1244800","1244800","1244800","1244800"
"366","1248000","1248000","1248000","1248000","1248000","1248000","1248000","1248000","1248000","1248000","1248000","1248000","2419200","2419200","2419200","1248000","1248000","1248000","1248000","1248000","1248000","1248000","1248000","1248000"
