"Step","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - global_step","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - global_step__MIN","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - global_step__MAX","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - global_step","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - global_step__MIN","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - global_step__MAX","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - global_step","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - global_step__MIN","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - global_step__MAX","CartPole_blip-image-captioning-base_cosine_20240426_154807 - global_step","CartPole_blip-image-captioning-base_cosine_20240426_154807 - global_step__MIN","CartPole_blip-image-captioning-base_cosine_20240426_154807 - global_step__MAX","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - global_step","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - global_step__MIN","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - global_step__MAX","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - global_step","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - global_step__MIN","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - global_step__MAX","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - global_step","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - global_step__MIN","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - global_step__MAX","CartPole_blip-image-captioning-base_cosine_20240425_192124 - global_step","CartPole_blip-image-captioning-base_cosine_20240425_192124 - global_step__MIN","CartPole_blip-image-captioning-base_cosine_20240425_192124 - global_step__MAX"
"30","172800","172800","172800","172800","172800","172800","172800","172800","172800","172800","172800","172800","268800","268800","268800","172800","172800","172800","172800","172800","172800","172800","172800","172800"
"31","176000","176000","176000","176000","176000","176000","176000","176000","176000","176000","176000","176000","275200","275200","275200","176000","176000","176000","176000","176000","176000","176000","176000","176000"
"32","179200","179200","179200","179200","179200","179200","179200","179200","179200","179200","179200","179200","281600","281600","281600","179200","179200","179200","179200","179200","179200","179200","179200","179200"
"33","182400","182400","182400","182400","182400","182400","182400","182400","182400","182400","182400","182400","288000","288000","288000","182400","182400","182400","182400","182400","182400","182400","182400","182400"
"34","185600","185600","185600","185600","185600","185600","185600","185600","185600","185600","185600","185600","294400","294400","294400","185600","185600","185600","185600","185600","185600","185600","185600","185600"
"35","188800","188800","188800","188800","188800","188800","188800","188800","188800","188800","188800","188800","300800","300800","300800","188800","188800","188800","188800","188800","188800","188800","188800","188800"
"36","192000","192000","192000","192000","192000","192000","192000","192000","192000","192000","192000","192000","307200","307200","307200","192000","192000","192000","192000","192000","192000","192000","192000","192000"
"37","195200","195200","195200","195200","195200","195200","195200","195200","195200","195200","195200","195200","313600","313600","313600","195200","195200","195200","195200","195200","195200","195200","195200","195200"
"38","198400","198400","198400","198400","198400","198400","198400","198400","198400","198400","198400","198400","320000","320000","320000","198400","198400","198400","198400","198400","198400","198400","198400","198400"
"39","201600","201600","201600","201600","201600","201600","201600","201600","201600","201600","201600","201600","326400","326400","326400","201600","201600","201600","201600","201600","201600","201600","201600","201600"
"40","204800","204800","204800","204800","204800","204800","204800","204800","204800","204800","204800","204800","332800","332800","332800","204800","204800","204800","204800","204800","204800","204800","204800","204800"
"41","208000","208000","208000","208000","208000","208000","208000","208000","208000","208000","208000","208000","339200","339200","339200","208000","208000","208000","208000","208000","208000","208000","208000","208000"
"42","211200","211200","211200","211200","211200","211200","211200","211200","211200","211200","211200","211200","345600","345600","345600","211200","211200","211200","211200","211200","211200","211200","211200","211200"
"43","214400","214400","214400","214400","214400","214400","214400","214400","214400","214400","214400","214400","352000","352000","352000","214400","214400","214400","214400","214400","214400","214400","214400","214400"
"44","217600","217600","217600","217600","217600","217600","217600","217600","217600","217600","217600","217600","358400","358400","358400","217600","217600","217600","217600","217600","217600","217600","217600","217600"
"45","220800","220800","220800","220800","220800","220800","220800","220800","220800","220800","220800","220800","364800","364800","364800","220800","220800","220800","220800","220800","220800","220800","220800","220800"
"46","224000","224000","224000","224000","224000","224000","224000","224000","224000","224000","224000","224000","371200","371200","371200","224000","224000","224000","224000","224000","224000","224000","224000","224000"
"47","227200","227200","227200","227200","227200","227200","227200","227200","227200","227200","227200","227200","377600","377600","377600","227200","227200","227200","227200","227200","227200","227200","227200","227200"
"48","230400","230400","230400","230400","230400","230400","230400","230400","230400","230400","230400","230400","384000","384000","384000","230400","230400","230400","230400","230400","230400","230400","230400","230400"
"49","233600","233600","233600","233600","233600","233600","233600","233600","233600","233600","233600","233600","390400","390400","390400","233600","233600","233600","233600","233600","233600","233600","233600","233600"
"50","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","236800","396800","396800","396800","236800","236800","236800","236800","236800","236800","236800","236800","236800"
"51","240000","240000","240000","240000","240000","240000","240000","240000","240000","240000","240000","240000","403200","403200","403200","240000","240000","240000","240000","240000","240000","240000","240000","240000"
"52","243200","243200","243200","243200","243200","243200","243200","243200","243200","243200","243200","243200","409600","409600","409600","243200","243200","243200","243200","243200","243200","243200","243200","243200"
"53","246400","246400","246400","246400","246400","246400","246400","246400","246400","246400","246400","246400","416000","416000","416000","246400","246400","246400","246400","246400","246400","246400","246400","246400"
"54","249600","249600","249600","249600","249600","249600","249600","249600","249600","249600","249600","249600","422400","422400","422400","249600","249600","249600","249600","249600","249600","249600","249600","249600"
"55","252800","252800","252800","252800","252800","252800","252800","252800","252800","252800","252800","252800","428800","428800","428800","252800","252800","252800","252800","252800","252800","252800","252800","252800"
"56","256000","256000","256000","256000","256000","256000","256000","256000","256000","256000","256000","256000","435200","435200","435200","256000","256000","256000","256000","256000","256000","256000","256000","256000"
"57","259200","259200","259200","259200","259200","259200","259200","259200","259200","259200","259200","259200","441600","441600","441600","259200","259200","259200","259200","259200","259200","259200","259200","259200"
"58","262400","262400","262400","262400","262400","262400","262400","262400","262400","262400","262400","262400","448000","448000","448000","262400","262400","262400","262400","262400","262400","262400","262400","262400"
"59","265600","265600","265600","265600","265600","265600","265600","265600","265600","265600","265600","265600","454400","454400","454400","265600","265600","265600","265600","265600","265600","265600","265600","265600"
