"Step","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_gt_rew_mean","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_gt_rew_mean__MIN","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_gt_rew_mean__MAX","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_gt_rew_mean","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_gt_rew_mean__MIN","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_gt_rew_mean__MAX","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_gt_rew_mean","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_gt_rew_mean__MIN","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_gt_rew_mean__MAX","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_gt_rew_mean","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_gt_rew_mean__MIN","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_gt_rew_mean__MAX","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_gt_rew_mean","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_gt_rew_mean__MIN","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_gt_rew_mean__MAX","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_gt_rew_mean","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_gt_rew_mean__MIN","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_gt_rew_mean__MAX","CartPole_openai_contrastive_20240424_231510 - rollout/ep_gt_rew_mean","CartPole_openai_contrastive_20240424_231510 - rollout/ep_gt_rew_mean__MIN","CartPole_openai_contrastive_20240424_231510 - rollout/ep_gt_rew_mean__MAX","CartPole_openai_goal_baseline_reg_20240424_230952 - rollout/ep_gt_rew_mean","CartPole_openai_goal_baseline_reg_20240424_230952 - rollout/ep_gt_rew_mean__MIN","CartPole_openai_goal_baseline_reg_20240424_230952 - rollout/ep_gt_rew_mean__MAX","CartPole_openai_cosine_20240424_201844 - rollout/ep_gt_rew_mean","CartPole_openai_cosine_20240424_201844 - rollout/ep_gt_rew_mean__MIN","CartPole_openai_cosine_20240424_201844 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_gt_rew_mean","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPRN_cosine_20240423_122847 - rollout/ep_gt_rew_mean","CartPole_CLIPRN_cosine_20240423_122847 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPRN_cosine_20240423_122847 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_gt_rew_mean","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPRN_contrastive_20240423_083830 - rollout/ep_gt_rew_mean","CartPole_CLIPRN_contrastive_20240423_083830 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPRN_contrastive_20240423_083830 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPRN_goal_baseline_reg_20240422_233319 - rollout/ep_gt_rew_mean","CartPole_CLIPRN_goal_baseline_reg_20240422_233319 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPRN_goal_baseline_reg_20240422_233319 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_gt_rew_mean","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_gt_rew_mean","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_gt_rew_mean__MAX","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_gt_rew_mean","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_gt_rew_mean__MIN","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_gt_rew_mean__MAX","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_gt_rew_mean","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_gt_rew_mean__MIN","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_gt_rew_mean__MAX"
"10","30.042552947998047","30.042552947998047","30.042552947998047","29.944149017333984","29.944149017333984","29.944149017333984","30.117021560668945","30.117021560668945","30.117021560668945","30.101064682006836","30.101064682006836","30.101064682006836","30.17021369934082","30.17021369934082","30.17021369934082","29.928192138671875","29.928192138671875","29.928192138671875","29.90691566467285","29.90691566467285","29.90691566467285","30.385639190673828","30.385639190673828","30.385639190673828","21.02604103088379","21.02604103088379","21.02604103088379","38.00260543823242","38.00260543823242","38.00260543823242","32.01041793823242","32.01041793823242","32.01041793823242","30.9765625","30.9765625","30.9765625","26.9453125","26.9453125","26.9453125","30.28125","30.28125","30.28125","34.0703125","34.0703125","34.0703125","32.98958206176758","32.98958206176758","32.98958206176758","33.6484375","33.6484375","33.6484375","32.625","32.625","32.625"
"11","29.98404312133789","29.98404312133789","29.98404312133789","29.880319595336914","29.880319595336914","29.880319595336914","29.96808433532715","29.96808433532715","29.96808433532715","29.95478630065918","29.95478630065918","29.95478630065918","30.0505313873291","30.0505313873291","30.0505313873291","29.739360809326172","29.739360809326172","29.739360809326172","29.757978439331055","29.757978439331055","29.757978439331055","30.223403930664062","30.223403930664062","30.223403930664062","19.91927146911621","19.91927146911621","19.91927146911621","37.828125","37.828125","37.828125","31.00260353088379","31.00260353088379","31.00260353088379","29.93489646911621","29.93489646911621","29.93489646911621","26.66145896911621","26.66145896911621","26.66145896911621","29.3359375","29.3359375","29.3359375","34.30729293823242","34.30729293823242","34.30729293823242","33.66926956176758","33.66926956176758","33.66926956176758","33.76041793823242","33.76041793823242","33.76041793823242","33.85676956176758","33.85676956176758","33.85676956176758"
"12","29.694149017333984","29.694149017333984","29.694149017333984","29.62234115600586","29.62234115600586","29.62234115600586","29.70478630065918","29.70478630065918","29.70478630065918","29.68882942199707","29.68882942199707","29.68882942199707","29.776596069335938","29.776596069335938","29.776596069335938","29.57978630065918","29.57978630065918","29.57978630065918","29.462766647338867","29.462766647338867","29.462766647338867","29.93882942199707","29.93882942199707","29.93882942199707","18.59895896911621","18.59895896911621","18.59895896911621","37.35416793823242","37.35416793823242","37.35416793823242","29.93489646911621","29.93489646911621","29.93489646911621","31.50260353088379","31.50260353088379","31.50260353088379","29.38802146911621","29.38802146911621","29.38802146911621","28.30208396911621","28.30208396911621","28.30208396911621","34.03125","34.03125","34.03125","34","34","34","34.0234375","34.0234375","34.0234375","33.51823043823242","33.51823043823242","33.51823043823242"
"13","29.337766647338867","29.337766647338867","29.337766647338867","29.3244686126709","29.3244686126709","29.3244686126709","29.332447052001953","29.332447052001953","29.332447052001953","29.279254913330078","29.279254913330078","29.279254913330078","29.39095687866211","29.39095687866211","29.39095687866211","29.220745086669922","29.220745086669922","29.220745086669922","29.07712745666504","29.07712745666504","29.07712745666504","29.585105895996094","29.585105895996094","29.585105895996094","18.58072853088379","18.58072853088379","18.58072853088379","41.16145706176758","41.16145706176758","41.16145706176758","29.23177146911621","29.23177146911621","29.23177146911621","30.64583396911621","30.64583396911621","30.64583396911621","31.36979103088379","31.36979103088379","31.36979103088379","26.21875","26.21875","26.21875","34.76823043823242","34.76823043823242","34.76823043823242","33.81510543823242","33.81510543823242","33.81510543823242","33.69791793823242","33.69791793823242","33.69791793823242","34.67708206176758","34.67708206176758","34.67708206176758"
"14","29.10904312133789","29.10904312133789","29.10904312133789","29.130319595336914","29.130319595336914","29.130319595336914","29.117021560668945","29.117021560668945","29.117021560668945","29.026596069335938","29.026596069335938","29.026596069335938","29.13829803466797","29.13829803466797","29.13829803466797","29.010639190673828","29.010639190673828","29.010639190673828","28.81117057800293","28.81117057800293","28.81117057800293","29.369680404663086","29.369680404663086","29.369680404663086","18.6484375","18.6484375","18.6484375","41.69010543823242","41.69010543823242","41.69010543823242","30.80208396911621","30.80208396911621","30.80208396911621","32.79948043823242","32.79948043823242","32.79948043823242","30.6171875","30.6171875","30.6171875","25.421875","25.421875","25.421875","34.97395706176758","34.97395706176758","34.97395706176758","34.40885543823242","34.40885543823242","34.40885543823242","33.48698043823242","33.48698043823242","33.48698043823242","35.09114456176758","35.09114456176758","35.09114456176758"
"15","28.819149017333984","28.819149017333984","28.819149017333984","28.885639190673828","28.885639190673828","28.885639190673828","28.78191566467285","28.78191566467285","28.78191566467285","28.73404312133789","28.73404312133789","28.73404312133789","28.835105895996094","28.835105895996094","28.835105895996094","28.819149017333984","28.819149017333984","28.819149017333984","28.539894104003906","28.539894104003906","28.539894104003906","29.029254913330078","29.029254913330078","29.029254913330078","18.75260353088379","18.75260353088379","18.75260353088379","40.09635543823242","40.09635543823242","40.09635543823242","28.40364646911621","28.40364646911621","28.40364646911621","30.3671875","30.3671875","30.3671875","28.90364646911621","28.90364646911621","28.90364646911621","23.42447853088379","23.42447853088379","23.42447853088379","34.7109375","34.7109375","34.7109375","34.19791793823242","34.19791793823242","34.19791793823242","33.296875","33.296875","33.296875","34.71614456176758","34.71614456176758","34.71614456176758"
"16","28.48670196533203","28.48670196533203","28.48670196533203","28.62234115600586","28.62234115600586","28.62234115600586","28.43617057800293","28.43617057800293","28.43617057800293","28.404254913330078","28.404254913330078","28.404254913330078","28.481382369995117","28.481382369995117","28.481382369995117","28.54787254333496","28.54787254333496","28.54787254333496","28.159574508666992","28.159574508666992","28.159574508666992","28.683509826660156","28.683509826660156","28.683509826660156","18.14322853088379","18.14322853088379","18.14322853088379","39.8671875","39.8671875","39.8671875","27.86458396911621","27.86458396911621","27.86458396911621","29.61979103088379","29.61979103088379","29.61979103088379","29.04947853088379","29.04947853088379","29.04947853088379","23.97395896911621","23.97395896911621","23.97395896911621","34.61979293823242","34.61979293823242","34.61979293823242","34.11979293823242","34.11979293823242","34.11979293823242","33.16145706176758","33.16145706176758","33.16145706176758","35.12760543823242","35.12760543823242","35.12760543823242"
"17","28.351064682006836","28.351064682006836","28.351064682006836","28.3005313873291","28.3005313873291","28.3005313873291","28.053192138671875","28.053192138671875","28.053192138671875","28.03191566467285","28.03191566467285","28.03191566467285","28.305850982666016","28.305850982666016","28.305850982666016","28.404254913330078","28.404254913330078","28.404254913330078","27.776596069335938","27.776596069335938","27.776596069335938","28.460105895996094","28.460105895996094","28.460105895996094","17.40885353088379","17.40885353088379","17.40885353088379","38.32291793823242","38.32291793823242","38.32291793823242","27.9375","27.9375","27.9375","30.17708396911621","30.17708396911621","30.17708396911621","27.546875","27.546875","27.546875","24.7109375","24.7109375","24.7109375","34.58854293823242","34.58854293823242","34.58854293823242","34.28125","34.28125","34.28125","32.71875","32.71875","32.71875","35.03125","35.03125","35.03125"
"18","28.18617057800293","28.18617057800293","28.18617057800293","28.12765884399414","28.12765884399414","28.12765884399414","27.914894104003906","27.914894104003906","27.914894104003906","27.92021369934082","27.92021369934082","27.92021369934082","28.085105895996094","28.085105895996094","28.085105895996094","28.4255313873291","28.4255313873291","28.4255313873291","27.558509826660156","27.558509826660156","27.558509826660156","28.257978439331055","28.257978439331055","28.257978439331055","17.05208396911621","17.05208396911621","17.05208396911621","36.0546875","36.0546875","36.0546875","26.3984375","26.3984375","26.3984375","26.7109375","26.7109375","26.7109375","25.3125","25.3125","25.3125","23.61979103088379","23.61979103088379","23.61979103088379","33.8984375","33.8984375","33.8984375","34.02604293823242","34.02604293823242","34.02604293823242","32.00520706176758","32.00520706176758","32.00520706176758","34.60676956176758","34.60676956176758","34.60676956176758"
"19","28.085105895996094","28.085105895996094","28.085105895996094","27.87765884399414","27.87765884399414","27.87765884399414","27.68617057800293","27.68617057800293","27.68617057800293","27.707447052001953","27.707447052001953","27.707447052001953","27.82978630065918","27.82978630065918","27.82978630065918","28.367021560668945","28.367021560668945","28.367021560668945","27.308509826660156","27.308509826660156","27.308509826660156","28.055850982666016","28.055850982666016","28.055850982666016","16.54947853088379","16.54947853088379","16.54947853088379","34.07291793823242","34.07291793823242","34.07291793823242","24.59114646911621","24.59114646911621","24.59114646911621","25.92447853088379","25.92447853088379","25.92447853088379","24.53645896911621","24.53645896911621","24.53645896911621","24.70052146911621","24.70052146911621","24.70052146911621","33.671875","33.671875","33.671875","33.69791793823242","33.69791793823242","33.69791793823242","31.83854103088379","31.83854103088379","31.83854103088379","34.52604293823242","34.52604293823242","34.52604293823242"
