"Step","CartPole_flava-full_contrastive_20240425_151959 - rollout/ep_gt_rew_mean","CartPole_flava-full_contrastive_20240425_151959 - rollout/ep_gt_rew_mean__MIN","CartPole_flava-full_contrastive_20240425_151959 - rollout/ep_gt_rew_mean__MAX","CartPole_flava-full_contrastive_20240425_151531 - rollout/ep_gt_rew_mean","CartPole_flava-full_contrastive_20240425_151531 - rollout/ep_gt_rew_mean__MIN","CartPole_flava-full_contrastive_20240425_151531 - rollout/ep_gt_rew_mean__MAX","CartPole_flava-full_goal_baseline_reg_20240425_150737 - rollout/ep_gt_rew_mean","CartPole_flava-full_goal_baseline_reg_20240425_150737 - rollout/ep_gt_rew_mean__MIN","CartPole_flava-full_goal_baseline_reg_20240425_150737 - rollout/ep_gt_rew_mean__MAX","CartPole_flava-full_goal_baseline_reg_20240425_150202 - rollout/ep_gt_rew_mean","CartPole_flava-full_goal_baseline_reg_20240425_150202 - rollout/ep_gt_rew_mean__MIN","CartPole_flava-full_goal_baseline_reg_20240425_150202 - rollout/ep_gt_rew_mean__MAX","CartPole_flava-full_cosine_20240425_143913 - rollout/ep_gt_rew_mean","CartPole_flava-full_cosine_20240425_143913 - rollout/ep_gt_rew_mean__MIN","CartPole_flava-full_cosine_20240425_143913 - rollout/ep_gt_rew_mean__MAX","CartPole_flava-full_cosine_20240425_142155 - rollout/ep_gt_rew_mean","CartPole_flava-full_cosine_20240425_142155 - rollout/ep_gt_rew_mean__MIN","CartPole_flava-full_cosine_20240425_142155 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_gt_rew_mean__MAX","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_gt_rew_mean","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_gt_rew_mean__MIN","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_gt_rew_mean__MAX","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_gt_rew_mean","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_gt_rew_mean__MIN","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_gt_rew_mean__MAX","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_gt_rew_mean","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_gt_rew_mean__MIN","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_gt_rew_mean","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_gt_rew_mean","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_gt_rew_mean__MAX","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_gt_rew_mean","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_gt_rew_mean__MIN","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_gt_rew_mean__MAX"
"10","31.5505313873291","31.5505313873291","31.5505313873291","29.696807861328125","29.696807861328125","29.696807861328125","30.125","30.125","30.125","30.87765884399414","30.87765884399414","30.87765884399414","29.79787254333496","29.79787254333496","29.79787254333496","31.659574508666992","31.659574508666992","31.659574508666992","30.037233352661133","30.037233352661133","30.037233352661133","32.375","32.375","32.375","31.880319595336914","31.880319595336914","31.880319595336914","30.018617630004883","30.018617630004883","30.018617630004883","30.130319595336914","30.130319595336914","30.130319595336914","30.042552947998047","30.042552947998047","30.042552947998047","30.17021369934082","30.17021369934082","30.17021369934082","29.928192138671875","29.928192138671875","29.928192138671875","30.2578125","30.2578125","30.2578125","38.00260543823242","38.00260543823242","38.00260543823242","34.0703125","34.0703125","34.0703125","32.98958206176758","32.98958206176758","32.98958206176758"
"11","31.885639190673828","31.885639190673828","31.885639190673828","29.680850982666016","29.680850982666016","29.680850982666016","30.037233352661133","30.037233352661133","30.037233352661133","30.558509826660156","30.558509826660156","30.558509826660156","29.64095687866211","29.64095687866211","29.64095687866211","31.23670196533203","31.23670196533203","31.23670196533203","29.965425491333008","29.965425491333008","29.965425491333008","32.09840393066406","32.09840393066406","32.09840393066406","31.43882942199707","31.43882942199707","31.43882942199707","29.978723526000977","29.978723526000977","29.978723526000977","29.98404312133789","29.98404312133789","29.98404312133789","29.98404312133789","29.98404312133789","29.98404312133789","30.0505313873291","30.0505313873291","30.0505313873291","29.739360809326172","29.739360809326172","29.739360809326172","31.078125","31.078125","31.078125","37.828125","37.828125","37.828125","34.30729293823242","34.30729293823242","34.30729293823242","33.66926956176758","33.66926956176758","33.66926956176758"
"12","31.87234115600586","31.87234115600586","31.87234115600586","29.37234115600586","29.37234115600586","29.37234115600586","29.771276473999023","29.771276473999023","29.771276473999023","30.14095687866211","30.14095687866211","30.14095687866211","29.43617057800293","29.43617057800293","29.43617057800293","31.28191566467285","31.28191566467285","31.28191566467285","29.67021369934082","29.67021369934082","29.67021369934082","31.973403930664062","31.973403930664062","31.973403930664062","31.095745086669922","31.095745086669922","31.095745086669922","29.683509826660156","29.683509826660156","29.683509826660156","29.691490173339844","29.691490173339844","29.691490173339844","29.694149017333984","29.694149017333984","29.694149017333984","29.776596069335938","29.776596069335938","29.776596069335938","29.57978630065918","29.57978630065918","29.57978630065918","30.3125","30.3125","30.3125","37.35416793823242","37.35416793823242","37.35416793823242","34.03125","34.03125","34.03125","34","34","34"
"13","32.36701965332031","32.36701965332031","32.36701965332031","29.167552947998047","29.167552947998047","29.167552947998047","29.398935317993164","29.398935317993164","29.398935317993164","30.4494686126709","30.4494686126709","30.4494686126709","29.055850982666016","29.055850982666016","29.055850982666016","31.00265884399414","31.00265884399414","31.00265884399414","29.289894104003906","29.289894104003906","29.289894104003906","32.73936080932617","32.73936080932617","32.73936080932617","30.87234115600586","30.87234115600586","30.87234115600586","29.367021560668945","29.367021560668945","29.367021560668945","29.3244686126709","29.3244686126709","29.3244686126709","29.337766647338867","29.337766647338867","29.337766647338867","29.39095687866211","29.39095687866211","29.39095687866211","29.220745086669922","29.220745086669922","29.220745086669922","31","31","31","41.16145706176758","41.16145706176758","41.16145706176758","34.76823043823242","34.76823043823242","34.76823043823242","33.81510543823242","33.81510543823242","33.81510543823242"
"14","31.933509826660156","31.933509826660156","31.933509826660156","29.119680404663086","29.119680404663086","29.119680404663086","29.167552947998047","29.167552947998047","29.167552947998047","30.962766647338867","30.962766647338867","30.962766647338867","28.787233352661133","28.787233352661133","28.787233352661133","31.07712745666504","31.07712745666504","31.07712745666504","29.143617630004883","29.143617630004883","29.143617630004883","32.92287063598633","32.92287063598633","32.92287063598633","31.768617630004883","31.768617630004883","31.768617630004883","29.13829803466797","29.13829803466797","29.13829803466797","29.09308433532715","29.09308433532715","29.09308433532715","29.10904312133789","29.10904312133789","29.10904312133789","29.13829803466797","29.13829803466797","29.13829803466797","29.010639190673828","29.010639190673828","29.010639190673828","30.05208396911621","30.05208396911621","30.05208396911621","41.69010543823242","41.69010543823242","41.69010543823242","34.97395706176758","34.97395706176758","34.97395706176758","34.40885543823242","34.40885543823242","34.40885543823242"
"15","32.308509826660156","32.308509826660156","32.308509826660156","28.893617630004883","28.893617630004883","28.893617630004883","28.805850982666016","28.805850982666016","28.805850982666016","30.848403930664062","30.848403930664062","30.848403930664062","28.529254913330078","28.529254913330078","28.529254913330078","31.18617057800293","31.18617057800293","31.18617057800293","28.88829803466797","28.88829803466797","28.88829803466797","33","33","33","31.79521369934082","31.79521369934082","31.79521369934082","28.835105895996094","28.835105895996094","28.835105895996094","28.75265884399414","28.75265884399414","28.75265884399414","28.819149017333984","28.819149017333984","28.819149017333984","28.835105895996094","28.835105895996094","28.835105895996094","28.819149017333984","28.819149017333984","28.819149017333984","29.11197853088379","29.11197853088379","29.11197853088379","40.09635543823242","40.09635543823242","40.09635543823242","34.7109375","34.7109375","34.7109375","34.19791793823242","34.19791793823242","34.19791793823242"
"16","33.00265884399414","33.00265884399414","33.00265884399414","28.630319595336914","28.630319595336914","28.630319595336914","28.412233352661133","28.412233352661133","28.412233352661133","30.933509826660156","30.933509826660156","30.933509826660156","28.18882942199707","28.18882942199707","28.18882942199707","31.095745086669922","31.095745086669922","31.095745086669922","28.51595687866211","28.51595687866211","28.51595687866211","33.62234115600586","33.62234115600586","33.62234115600586","31.678192138671875","31.678192138671875","31.678192138671875","28.659574508666992","28.659574508666992","28.659574508666992","28.398935317993164","28.398935317993164","28.398935317993164","28.48670196533203","28.48670196533203","28.48670196533203","28.481382369995117","28.481382369995117","28.481382369995117","28.54787254333496","28.54787254333496","28.54787254333496","31.19791603088379","31.19791603088379","31.19791603088379","39.8671875","39.8671875","39.8671875","34.61979293823242","34.61979293823242","34.61979293823242","34.11979293823242","34.11979293823242","34.11979293823242"
"17","32.83244705200195","32.83244705200195","32.83244705200195","28.244680404663086","28.244680404663086","28.244680404663086","28","28","28","30.941490173339844","30.941490173339844","30.941490173339844","27.819149017333984","27.819149017333984","27.819149017333984","30.896276473999023","30.896276473999023","30.896276473999023","28.1994686126709","28.1994686126709","28.1994686126709","33.930850982666016","33.930850982666016","33.930850982666016","31.53191566467285","31.53191566467285","31.53191566467285","28.37234115600586","28.37234115600586","28.37234115600586","28.114360809326172","28.114360809326172","28.114360809326172","28.351064682006836","28.351064682006836","28.351064682006836","28.305850982666016","28.305850982666016","28.305850982666016","28.404254913330078","28.404254913330078","28.404254913330078","31.55208396911621","31.55208396911621","31.55208396911621","38.32291793823242","38.32291793823242","38.32291793823242","34.58854293823242","34.58854293823242","34.58854293823242","34.28125","34.28125","34.28125"
"18","33.162235260009766","33.162235260009766","33.162235260009766","28.04521369934082","28.04521369934082","28.04521369934082","27.8005313873291","27.8005313873291","27.8005313873291","30.6994686126709","30.6994686126709","30.6994686126709","27.585105895996094","27.585105895996094","27.585105895996094","30.61170196533203","30.61170196533203","30.61170196533203","28.085105895996094","28.085105895996094","28.085105895996094","33.67021179199219","33.67021179199219","33.67021179199219","31.51329803466797","31.51329803466797","31.51329803466797","28.17287254333496","28.17287254333496","28.17287254333496","27.89095687866211","27.89095687866211","27.89095687866211","28.18617057800293","28.18617057800293","28.18617057800293","28.085105895996094","28.085105895996094","28.085105895996094","28.4255313873291","28.4255313873291","28.4255313873291","31.203125","31.203125","31.203125","36.0546875","36.0546875","36.0546875","33.8984375","33.8984375","33.8984375","34.02604293823242","34.02604293823242","34.02604293823242"
"19","33.89095687866211","33.89095687866211","33.89095687866211","27.79521369934082","27.79521369934082","27.79521369934082","27.537233352661133","27.537233352661133","27.537233352661133","30.851064682006836","30.851064682006836","30.851064682006836","27.356382369995117","27.356382369995117","27.356382369995117","30.79521369934082","30.79521369934082","30.79521369934082","27.944149017333984","27.944149017333984","27.944149017333984","34.321807861328125","34.321807861328125","34.321807861328125","31.537233352661133","31.537233352661133","31.537233352661133","28.055850982666016","28.055850982666016","28.055850982666016","27.648935317993164","27.648935317993164","27.648935317993164","28.085105895996094","28.085105895996094","28.085105895996094","27.82978630065918","27.82978630065918","27.82978630065918","28.367021560668945","28.367021560668945","28.367021560668945","31.09114646911621","31.09114646911621","31.09114646911621","34.07291793823242","34.07291793823242","34.07291793823242","33.671875","33.671875","33.671875","33.69791793823242","33.69791793823242","33.69791793823242"
