"Step","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - rollout/ep_gt_rew_mean","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - rollout/ep_gt_rew_mean__MIN","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - rollout/ep_gt_rew_mean__MAX","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - rollout/ep_gt_rew_mean","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - rollout/ep_gt_rew_mean__MIN","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - rollout/ep_gt_rew_mean__MAX","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - rollout/ep_gt_rew_mean","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - rollout/ep_gt_rew_mean__MIN","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - rollout/ep_gt_rew_mean__MAX","CartPole_blip-image-captioning-base_cosine_20240426_154807 - rollout/ep_gt_rew_mean","CartPole_blip-image-captioning-base_cosine_20240426_154807 - rollout/ep_gt_rew_mean__MIN","CartPole_blip-image-captioning-base_cosine_20240426_154807 - rollout/ep_gt_rew_mean__MAX","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - rollout/ep_gt_rew_mean","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - rollout/ep_gt_rew_mean__MIN","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - rollout/ep_gt_rew_mean__MAX","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - rollout/ep_gt_rew_mean","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - rollout/ep_gt_rew_mean__MIN","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - rollout/ep_gt_rew_mean__MAX","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - rollout/ep_gt_rew_mean","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - rollout/ep_gt_rew_mean__MIN","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - rollout/ep_gt_rew_mean__MAX","CartPole_blip-image-captioning-base_cosine_20240425_192124 - rollout/ep_gt_rew_mean","CartPole_blip-image-captioning-base_cosine_20240425_192124 - rollout/ep_gt_rew_mean__MIN","CartPole_blip-image-captioning-base_cosine_20240425_192124 - rollout/ep_gt_rew_mean__MAX"
"0","29.16927146911621","29.16927146911621","29.16927146911621","30.70572853088379","30.70572853088379","30.70572853088379","30.70572853088379","30.70572853088379","30.70572853088379","29.16927146911621","29.16927146911621","29.16927146911621","30.9921875","30.9921875","30.9921875","29.16927146911621","29.16927146911621","29.16927146911621","30.70572853088379","30.70572853088379","30.70572853088379","30.70572853088379","30.70572853088379","30.70572853088379"
"1","29.19791603088379","29.19791603088379","29.19791603088379","30.2265625","30.2265625","30.2265625","30.4453125","30.4453125","30.4453125","28.94270896911621","28.94270896911621","28.94270896911621","30.27604103088379","30.27604103088379","30.27604103088379","29.25520896911621","29.25520896911621","29.25520896911621","30.43229103088379","30.43229103088379","30.43229103088379","30.2890625","30.2890625","30.2890625"
"2","28.85416603088379","28.85416603088379","28.85416603088379","29.80989646911621","29.80989646911621","29.80989646911621","29.99479103088379","29.99479103088379","29.99479103088379","28.93229103088379","28.93229103088379","28.93229103088379","30.14322853088379","30.14322853088379","30.14322853088379","29.44010353088379","29.44010353088379","29.44010353088379","29.7265625","29.7265625","29.7265625","29.80729103088379","29.80729103088379","29.80729103088379"
"3","28.6171875","28.6171875","28.6171875","29.484375","29.484375","29.484375","29.76822853088379","29.76822853088379","29.76822853088379","29.07552146911621","29.07552146911621","29.07552146911621","30.3125","30.3125","30.3125","29.90104103088379","29.90104103088379","29.90104103088379","29.734375","29.734375","29.734375","29.4375","29.4375","29.4375"
"4","28.6875","28.6875","28.6875","28.94010353088379","28.94010353088379","28.94010353088379","29.30729103088379","29.30729103088379","29.30729103088379","29.89322853088379","29.89322853088379","29.89322853088379","29.95833396911621","29.95833396911621","29.95833396911621","30.1015625","30.1015625","30.1015625","29.26041603088379","29.26041603088379","29.26041603088379","28.8203125","28.8203125","28.8203125"
"5","28.60416603088379","28.60416603088379","28.60416603088379","28.40104103088379","28.40104103088379","28.40104103088379","28.78645896911621","28.78645896911621","28.78645896911621","30.27864646911621","30.27864646911621","30.27864646911621","30.6328125","30.6328125","30.6328125","30.66666603088379","30.66666603088379","30.66666603088379","28.76822853088379","28.76822853088379","28.76822853088379","28.35677146911621","28.35677146911621","28.35677146911621"
"6","28.57552146911621","28.57552146911621","28.57552146911621","27.70572853088379","27.70572853088379","27.70572853088379","28.04166603088379","28.04166603088379","28.04166603088379","30.29947853088379","30.29947853088379","30.29947853088379","29.671875","29.671875","29.671875","31.171875","31.171875","31.171875","28.15104103088379","28.15104103088379","28.15104103088379","27.73177146911621","27.73177146911621","27.73177146911621"
"7","29.16927146911621","29.16927146911621","29.16927146911621","27.0234375","27.0234375","27.0234375","27.41666603088379","27.41666603088379","27.41666603088379","30.5","30.5","30.5","30.63541603088379","30.63541603088379","30.63541603088379","31.578125","31.578125","31.578125","27.40364646911621","27.40364646911621","27.40364646911621","27.0703125","27.0703125","27.0703125"
"8","29.515625","29.515625","29.515625","26.3125","26.3125","26.3125","27.01822853088379","27.01822853088379","27.01822853088379","30.9375","30.9375","30.9375","30.36458396911621","30.36458396911621","30.36458396911621","32.25260543823242","32.25260543823242","32.25260543823242","26.73697853088379","26.73697853088379","26.73697853088379","26.48177146911621","26.48177146911621","26.48177146911621"
"9","29.953125","29.953125","29.953125","25.73177146911621","25.73177146911621","25.73177146911621","26.38020896911621","26.38020896911621","26.38020896911621","31.5390625","31.5390625","31.5390625","30.09895896911621","30.09895896911621","30.09895896911621","32.3984375","32.3984375","32.3984375","26.36197853088379","26.36197853088379","26.36197853088379","25.76041603088379","25.76041603088379","25.76041603088379"
