"Step","CartPole_env_reward_99_MIDI3_tmux1 - global_step","CartPole_env_reward_99_MIDI3_tmux1 - global_step__MIN","CartPole_env_reward_99_MIDI3_tmux1 - global_step__MAX","CartPole_env_reward_20240422_232316 - global_step","CartPole_env_reward_20240422_232316 - global_step__MIN","CartPole_env_reward_20240422_232316 - global_step__MAX"
"52","339200","339200","339200","339200","339200","339200"
"53","345600","345600","345600","345600","345600","345600"
"54","352000","352000","352000","352000","352000","352000"
"55","358400","358400","358400","358400","358400","358400"
"56","364800","364800","364800","364800","364800","364800"
"57","371200","371200","371200","371200","371200","371200"
"58","377600","377600","377600","377600","377600","377600"
"59","384000","384000","384000","384000","384000","384000"
"60","390400","390400","390400","390400","390400","390400"
"61","396800","396800","396800","396800","396800","396800"
"62","403200","403200","403200","403200","403200","403200"
"63","409600","409600","409600","409600","409600","409600"
"64","416000","416000","416000","416000","416000","416000"
"65","422400","422400","422400","422400","422400","422400"
"66","428800","428800","428800","428800","428800","428800"
"67","435200","435200","435200","435200","435200","435200"
"68","441600","441600","441600","441600","441600","441600"
"69","448000","448000","448000","448000","448000","448000"
"70","454400","454400","454400","454400","454400","454400"
"71","460800","460800","460800","460800","460800","460800"
"72","467200","467200","467200","467200","467200","467200"
"73","473600","473600","473600","473600","473600","473600"
"74","480000","480000","480000","480000","480000","480000"
"75","486400","486400","486400","486400","486400","486400"
"76","492800","492800","492800","492800","492800","492800"
"77","499200","499200","499200","499200","499200","499200"
"78","505600","505600","505600","505600","505600","505600"
"79","512000","512000","512000","512000","512000","512000"
"80","518400","518400","518400","518400","518400","518400"
"81","524800","524800","524800","524800","524800","524800"
"82","531200","531200","531200","531200","531200","531200"
"83","537600","537600","537600","537600","537600","537600"
"84","544000","544000","544000","544000","544000","544000"
"85","550400","550400","550400","550400","550400","550400"
"86","556800","556800","556800","556800","556800","556800"
"87","563200","563200","563200","563200","563200","563200"
"88","569600","569600","569600","569600","569600","569600"
"89","576000","576000","576000","576000","576000","576000"
"90","582400","582400","582400","582400","582400","582400"
"91","588800","588800","588800","588800","588800","588800"
"92","595200","595200","595200","595200","595200","595200"
"93","601600","601600","601600","601600","601600","601600"
"94","608000","608000","608000","608000","608000","608000"
"95","614400","614400","614400","614400","614400","614400"
"96","620800","620800","620800","620800","620800","620800"
"97","627200","627200","627200","627200","627200","627200"
"98","633600","633600","633600","633600","633600","633600"
"99","640000","640000","640000","640000","640000","640000"
"100","646400","646400","646400","646400","646400","646400"
