"Step","CartPole_siglip-base-patch16-224k_contrastive_20240426_194149 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240426_194149 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240426_194149 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240426_193951 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240426_193951 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240426_193951 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_193614 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_193614 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_193614 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240426_193423 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240426_193423 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240426_193423 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240426_193211 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240426_193211 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240426_193211 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_192935 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_192935 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240426_192935 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240426_192417 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240426_192417 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240426_192417 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240426_160730 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240426_160730 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240426_160730 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_062033 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_cosine_20240425_061736 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240425_061326 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_contrastive_20240425_060203 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240425_053932 - rollout/ep_gt_rew_mean__MAX","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_gt_rew_mean","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_gt_rew_mean__MIN","CartPole_siglip-base-patch16-224k_goal_baseline_reg_20240424_150631 - rollout/ep_gt_rew_mean__MAX"
"10","29.728723526000977","29.728723526000977","29.728723526000977","29.728723526000977","29.728723526000977","29.728723526000977","29.930850982666016","29.930850982666016","29.930850982666016","29.875","29.875","29.875","31.43882942199707","31.43882942199707","31.43882942199707","30.95212745666504","30.95212745666504","30.95212745666504","31.710105895996094","31.710105895996094","31.710105895996094","32.01595687866211","32.01595687866211","32.01595687866211","30.037233352661133","30.037233352661133","30.037233352661133","32.375","32.375","32.375","31.880319595336914","31.880319595336914","31.880319595336914","30.018617630004883","30.018617630004883","30.018617630004883","30.130319595336914","30.130319595336914","30.130319595336914","30.2578125","30.2578125","30.2578125"
"11","29.625","29.625","29.625","29.60904312133789","29.60904312133789","29.60904312133789","29.85904312133789","29.85904312133789","29.85904312133789","29.89095687866211","29.89095687866211","29.89095687866211","32.28457260131836","32.28457260131836","32.28457260131836","30.853723526000977","30.853723526000977","30.853723526000977","31.659574508666992","31.659574508666992","31.659574508666992","32.02659606933594","32.02659606933594","32.02659606933594","29.965425491333008","29.965425491333008","29.965425491333008","32.09840393066406","32.09840393066406","32.09840393066406","31.43882942199707","31.43882942199707","31.43882942199707","29.978723526000977","29.978723526000977","29.978723526000977","29.98404312133789","29.98404312133789","29.98404312133789","31.078125","31.078125","31.078125"
"12","29.351064682006836","29.351064682006836","29.351064682006836","29.316490173339844","29.316490173339844","29.316490173339844","29.51329803466797","29.51329803466797","29.51329803466797","29.664894104003906","29.664894104003906","29.664894104003906","32.178192138671875","32.178192138671875","32.178192138671875","30.86170196533203","30.86170196533203","30.86170196533203","31.760639190673828","31.760639190673828","31.760639190673828","32.12234115600586","32.12234115600586","32.12234115600586","29.67021369934082","29.67021369934082","29.67021369934082","31.973403930664062","31.973403930664062","31.973403930664062","31.095745086669922","31.095745086669922","31.095745086669922","29.683509826660156","29.683509826660156","29.683509826660156","29.691490173339844","29.691490173339844","29.691490173339844","30.3125","30.3125","30.3125"
"13","29.178192138671875","29.178192138671875","29.178192138671875","29.103723526000977","29.103723526000977","29.103723526000977","29.271276473999023","29.271276473999023","29.271276473999023","29.470745086669922","29.470745086669922","29.470745086669922","32.61968231201172","32.61968231201172","32.61968231201172","30.970745086669922","30.970745086669922","30.970745086669922","32.462764739990234","32.462764739990234","32.462764739990234","32.88829803466797","32.88829803466797","32.88829803466797","29.289894104003906","29.289894104003906","29.289894104003906","32.73936080932617","32.73936080932617","32.73936080932617","30.87234115600586","30.87234115600586","30.87234115600586","29.367021560668945","29.367021560668945","29.367021560668945","29.3244686126709","29.3244686126709","29.3244686126709","31","31","31"
"14","29.01595687866211","29.01595687866211","29.01595687866211","28.941490173339844","28.941490173339844","28.941490173339844","29.180850982666016","29.180850982666016","29.180850982666016","29.401596069335938","29.401596069335938","29.401596069335938","32.930850982666016","32.930850982666016","32.930850982666016","30.98670196533203","30.98670196533203","30.98670196533203","32.70212936401367","32.70212936401367","32.70212936401367","32.90425491333008","32.90425491333008","32.90425491333008","29.143617630004883","29.143617630004883","29.143617630004883","32.92287063598633","32.92287063598633","32.92287063598633","31.768617630004883","31.768617630004883","31.768617630004883","29.13829803466797","29.13829803466797","29.13829803466797","29.09308433532715","29.09308433532715","29.09308433532715","30.05208396911621","30.05208396911621","30.05208396911621"
"15","28.723403930664062","28.723403930664062","28.723403930664062","28.6755313873291","28.6755313873291","28.6755313873291","28.92021369934082","28.92021369934082","28.92021369934082","29.09308433532715","29.09308433532715","29.09308433532715","33.61436080932617","33.61436080932617","33.61436080932617","30.901596069335938","30.901596069335938","30.901596069335938","33.13298034667969","33.13298034667969","33.13298034667969","33.353721618652344","33.353721618652344","33.353721618652344","28.88829803466797","28.88829803466797","28.88829803466797","33","33","33","31.79521369934082","31.79521369934082","31.79521369934082","28.835105895996094","28.835105895996094","28.835105895996094","28.75265884399414","28.75265884399414","28.75265884399414","29.11197853088379","29.11197853088379","29.11197853088379"
"16","28.473403930664062","28.473403930664062","28.473403930664062","28.43882942199707","28.43882942199707","28.43882942199707","28.79521369934082","28.79521369934082","28.79521369934082","28.981382369995117","28.981382369995117","28.981382369995117","33.646278381347656","33.646278381347656","33.646278381347656","30.787233352661133","30.787233352661133","30.787233352661133","32.962764739990234","32.962764739990234","32.962764739990234","33.053192138671875","33.053192138671875","33.053192138671875","28.51595687866211","28.51595687866211","28.51595687866211","33.62234115600586","33.62234115600586","33.62234115600586","31.678192138671875","31.678192138671875","31.678192138671875","28.659574508666992","28.659574508666992","28.659574508666992","28.398935317993164","28.398935317993164","28.398935317993164","31.19791603088379","31.19791603088379","31.19791603088379"
"17","28.130319595336914","28.130319595336914","28.130319595336914","28.11170196533203","28.11170196533203","28.11170196533203","28.585105895996094","28.585105895996094","28.585105895996094","28.61170196533203","28.61170196533203","28.61170196533203","34.13031768798828","34.13031768798828","34.13031768798828","30.526596069335938","30.526596069335938","30.526596069335938","33.6888313293457","33.6888313293457","33.6888313293457","33.61701965332031","33.61701965332031","33.61701965332031","28.1994686126709","28.1994686126709","28.1994686126709","33.930850982666016","33.930850982666016","33.930850982666016","31.53191566467285","31.53191566467285","31.53191566467285","28.37234115600586","28.37234115600586","28.37234115600586","28.114360809326172","28.114360809326172","28.114360809326172","31.55208396911621","31.55208396911621","31.55208396911621"
"18","27.821807861328125","27.821807861328125","27.821807861328125","27.757978439331055","27.757978439331055","27.757978439331055","28.340425491333008","28.340425491333008","28.340425491333008","28.29521369934082","28.29521369934082","28.29521369934082","34.7260627746582","34.7260627746582","34.7260627746582","30.28191566467285","30.28191566467285","30.28191566467285","33.771278381347656","33.771278381347656","33.771278381347656","33.478721618652344","33.478721618652344","33.478721618652344","28.085105895996094","28.085105895996094","28.085105895996094","33.67021179199219","33.67021179199219","33.67021179199219","31.51329803466797","31.51329803466797","31.51329803466797","28.17287254333496","28.17287254333496","28.17287254333496","27.89095687866211","27.89095687866211","27.89095687866211","31.203125","31.203125","31.203125"
"19","27.53191566467285","27.53191566467285","27.53191566467285","27.462766647338867","27.462766647338867","27.462766647338867","28.132978439331055","28.132978439331055","28.132978439331055","28.005319595336914","28.005319595336914","28.005319595336914","35.70212936401367","35.70212936401367","35.70212936401367","30.10904312133789","30.10904312133789","30.10904312133789","34.47074508666992","34.47074508666992","34.47074508666992","34.3510627746582","34.3510627746582","34.3510627746582","27.944149017333984","27.944149017333984","27.944149017333984","34.321807861328125","34.321807861328125","34.321807861328125","31.537233352661133","31.537233352661133","31.537233352661133","28.055850982666016","28.055850982666016","28.055850982666016","27.648935317993164","27.648935317993164","27.648935317993164","31.09114646911621","31.09114646911621","31.09114646911621"
