"Step","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_clip_rew_mean","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_clip_rew_mean__MIN","CartPole_laion400m_s13b_b51k_contrastive_20240425_053236 - rollout/ep_clip_rew_mean__MAX","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean__MAX","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean__MAX","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean__MAX","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_clip_rew_mean","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_clip_rew_mean__MIN","CartPole_laion400m_s13b_b51k_goal_baseline_reg_20240424_232731 - rollout/ep_clip_rew_mean__MAX","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_clip_rew_mean","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_clip_rew_mean__MIN","CartPole_laion400m_s13b_b51k_cosine_20240424_232218 - rollout/ep_clip_rew_mean__MAX","CartPole_openai_contrastive_20240424_231510 - rollout/ep_clip_rew_mean","CartPole_openai_contrastive_20240424_231510 - rollout/ep_clip_rew_mean__MIN","CartPole_openai_contrastive_20240424_231510 - rollout/ep_clip_rew_mean__MAX","CartPole_openai_goal_baseline_reg_20240424_230952 - rollout/ep_clip_rew_mean","CartPole_openai_goal_baseline_reg_20240424_230952 - rollout/ep_clip_rew_mean__MIN","CartPole_openai_goal_baseline_reg_20240424_230952 - rollout/ep_clip_rew_mean__MAX","CartPole_openai_cosine_20240424_201844 - rollout/ep_clip_rew_mean","CartPole_openai_cosine_20240424_201844 - rollout/ep_clip_rew_mean__MIN","CartPole_openai_cosine_20240424_201844 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_clip_rew_mean","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPConvNext_contrastive_20240423_123355 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPRN_cosine_20240423_122847 - rollout/ep_clip_rew_mean","CartPole_CLIPRN_cosine_20240423_122847 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPRN_cosine_20240423_122847 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPRN_contrastive_20240423_083830 - rollout/ep_clip_rew_mean","CartPole_CLIPRN_contrastive_20240423_083830 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPRN_contrastive_20240423_083830 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPRN_goal_baseline_reg_20240422_233319 - rollout/ep_clip_rew_mean","CartPole_CLIPRN_goal_baseline_reg_20240422_233319 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPRN_goal_baseline_reg_20240422_233319 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_clip_rew_mean","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPConvNext_goal_baseline_1.0_reg_20240422_124730 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_clip_rew_mean","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPConvNext_cosine_20240422_093220 - rollout/ep_clip_rew_mean__MAX","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean__MIN","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean__MAX","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean__MIN","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean__MAX"
"10","-7.797083377838135","-7.797083377838135","-7.797083377838135","-6.379705429077148","-6.379705429077148","-6.379705429077148","188.80490112304688","188.80490112304688","188.80490112304688","49.28566360473633","49.28566360473633","49.28566360473633","187.7592010498047","187.7592010498047","187.7592010498047","62.81027603149414","62.81027603149414","62.81027603149414","36.08995819091797","36.08995819091797","36.08995819091797","189.8411102294922","189.8411102294922","189.8411102294922","84.1946792602539","84.1946792602539","84.1946792602539","39.120147705078125","39.120147705078125","39.120147705078125","85.3563461303711","85.3563461303711","85.3563461303711","42.52631378173828","42.52631378173828","42.52631378173828","36.121376037597656","36.121376037597656","36.121376037597656","189.85000610351562","189.85000610351562","189.85000610351562","187.86566162109375","187.86566162109375","187.86566162109375","63.26472854614258","63.26472854614258","63.26472854614258","188.8382110595703","188.8382110595703","188.8382110595703","49.50349426269531","49.50349426269531","49.50349426269531"
"11","-7.837169647216797","-7.837169647216797","-7.837169647216797","-6.385645866394043","-6.385645866394043","-6.385645866394043","188.8032684326172","188.8032684326172","188.8032684326172","49.257667541503906","49.257667541503906","49.257667541503906","187.7559051513672","187.7559051513672","187.7559051513672","62.74385070800781","62.74385070800781","62.74385070800781","36.08654022216797","36.08654022216797","36.08654022216797","189.83949279785156","189.83949279785156","189.83949279785156","84.03614044189453","84.03614044189453","84.03614044189453","39.12855529785156","39.12855529785156","39.12855529785156","85.28543090820312","85.28543090820312","85.28543090820312","42.557647705078125","42.557647705078125","42.557647705078125","36.120361328125","36.120361328125","36.120361328125","189.8509521484375","189.8509521484375","189.8509521484375","187.87181091308594","187.87181091308594","187.87181091308594","63.30071258544922","63.30071258544922","63.30071258544922","188.8398895263672","188.8398895263672","188.8398895263672","49.54926681518555","49.54926681518555","49.54926681518555"
"12","-7.862436771392822","-7.862436771392822","-7.862436771392822","-6.388667106628418","-6.388667106628418","-6.388667106628418","188.80194091796875","188.80194091796875","188.80194091796875","49.233978271484375","49.233978271484375","49.233978271484375","187.75071716308594","187.75071716308594","187.75071716308594","62.73564147949219","62.73564147949219","62.73564147949219","36.086299896240234","36.086299896240234","36.086299896240234","189.83633422851562","189.83633422851562","189.83633422851562","83.89459228515625","83.89459228515625","83.89459228515625","39.04750442504883","39.04750442504883","39.04750442504883","85.14412689208984","85.14412689208984","85.14412689208984","42.588279724121094","42.588279724121094","42.588279724121094","36.10533905029297","36.10533905029297","36.10533905029297","189.86399841308594","189.86399841308594","189.86399841308594","187.88015747070312","187.88015747070312","187.88015747070312","63.2615966796875","63.2615966796875","63.2615966796875","188.84034729003906","188.84034729003906","188.84034729003906","49.54497528076172","49.54497528076172","49.54497528076172"
"13","-7.93495512008667","-7.93495512008667","-7.93495512008667","-6.395133972167969","-6.395133972167969","-6.395133972167969","188.79949951171875","188.79949951171875","188.79949951171875","49.1519775390625","49.1519775390625","49.1519775390625","187.73101806640625","187.73101806640625","187.73101806640625","62.697959899902344","62.697959899902344","62.697959899902344","36.09721755981445","36.09721755981445","36.09721755981445","189.83580017089844","189.83580017089844","189.83580017089844","83.945068359375","83.945068359375","83.945068359375","39.30640411376953","39.30640411376953","39.30640411376953","85.03836822509766","85.03836822509766","85.03836822509766","42.56589889526367","42.56589889526367","42.56589889526367","36.063133239746094","36.063133239746094","36.063133239746094","189.8437042236328","189.8437042236328","189.8437042236328","187.90306091308594","187.90306091308594","187.90306091308594","63.21456527709961","63.21456527709961","63.21456527709961","188.8377685546875","188.8377685546875","188.8377685546875","49.59168243408203","49.59168243408203","49.59168243408203"
"14","-7.9606122970581055","-7.9606122970581055","-7.9606122970581055","-6.399874687194824","-6.399874687194824","-6.399874687194824","188.79881286621094","188.79881286621094","188.79881286621094","49.12248229980469","49.12248229980469","49.12248229980469","187.72218322753906","187.72218322753906","187.72218322753906","62.632450103759766","62.632450103759766","62.632450103759766","36.09933853149414","36.09933853149414","36.09933853149414","189.83396911621094","189.83396911621094","189.83396911621094","83.9666976928711","83.9666976928711","83.9666976928711","39.38593292236328","39.38593292236328","39.38593292236328","85.10850524902344","85.10850524902344","85.10850524902344","42.5789680480957","42.5789680480957","42.5789680480957","36.042667388916016","36.042667388916016","36.042667388916016","189.84896850585938","189.84896850585938","189.84896850585938","187.91937255859375","187.91937255859375","187.91937255859375","63.26303482055664","63.26303482055664","63.26303482055664","188.83908081054688","188.83908081054688","188.83908081054688","49.68202209472656","49.68202209472656","49.68202209472656"
"15","-7.994063377380371","-7.994063377380371","-7.994063377380371","-6.409701824188232","-6.409701824188232","-6.409701824188232","188.79574584960938","188.79574584960938","188.79574584960938","49.0872917175293","49.0872917175293","49.0872917175293","187.71517944335938","187.71517944335938","187.71517944335938","62.5826301574707","62.5826301574707","62.5826301574707","36.097652435302734","36.097652435302734","36.097652435302734","189.83013916015625","189.83013916015625","189.83013916015625","84.0260009765625","84.0260009765625","84.0260009765625","39.371368408203125","39.371368408203125","39.371368408203125","84.96697235107422","84.96697235107422","84.96697235107422","42.582923889160156","42.582923889160156","42.582923889160156","36.048797607421875","36.048797607421875","36.048797607421875","189.83843994140625","189.83843994140625","189.83843994140625","187.92262268066406","187.92262268066406","187.92262268066406","63.15888595581055","63.15888595581055","63.15888595581055","188.8354034423828","188.8354034423828","188.8354034423828","49.637935638427734","49.637935638427734","49.637935638427734"
"16","-8.048994064331055","-8.048994064331055","-8.048994064331055","-6.417709827423096","-6.417709827423096","-6.417709827423096","188.7945556640625","188.7945556640625","188.7945556640625","49.0240478515625","49.0240478515625","49.0240478515625","187.7017059326172","187.7017059326172","187.7017059326172","62.50447463989258","62.50447463989258","62.50447463989258","36.095558166503906","36.095558166503906","36.095558166503906","189.82701110839844","189.82701110839844","189.82701110839844","84.00859832763672","84.00859832763672","84.00859832763672","39.351165771484375","39.351165771484375","39.351165771484375","84.92377471923828","84.92377471923828","84.92377471923828","42.609439849853516","42.609439849853516","42.609439849853516","36.051063537597656","36.051063537597656","36.051063537597656","189.84005737304688","189.84005737304688","189.84005737304688","187.92587280273438","187.92587280273438","187.92587280273438","63.12430191040039","63.12430191040039","63.12430191040039","188.83555603027344","188.83555603027344","188.83555603027344","49.657344818115234","49.657344818115234","49.657344818115234"
"17","-8.054755210876465","-8.054755210876465","-8.054755210876465","-6.422356605529785","-6.422356605529785","-6.422356605529785","188.7920379638672","188.7920379638672","188.7920379638672","49.00178909301758","49.00178909301758","49.00178909301758","187.69805908203125","187.69805908203125","187.69805908203125","62.5289306640625","62.5289306640625","62.5289306640625","36.10500717163086","36.10500717163086","36.10500717163086","189.82699584960938","189.82699584960938","189.82699584960938","83.94889068603516","83.94889068603516","83.94889068603516","39.08815002441406","39.08815002441406","39.08815002441406","84.92381286621094","84.92381286621094","84.92381286621094","42.593727111816406","42.593727111816406","42.593727111816406","36.09370422363281","36.09370422363281","36.09370422363281","189.8319549560547","189.8319549560547","189.8319549560547","187.92608642578125","187.92608642578125","187.92608642578125","63.05506896972656","63.05506896972656","63.05506896972656","188.83306884765625","188.83306884765625","188.83306884765625","49.60757064819336","49.60757064819336","49.60757064819336"
"18","-8.09556770324707","-8.09556770324707","-8.09556770324707","-6.42435884475708","-6.42435884475708","-6.42435884475708","188.7916259765625","188.7916259765625","188.7916259765625","48.9911994934082","48.9911994934082","48.9911994934082","187.6884002685547","187.6884002685547","187.6884002685547","62.53935623168945","62.53935623168945","62.53935623168945","36.11465835571289","36.11465835571289","36.11465835571289","189.82420349121094","189.82420349121094","189.82420349121094","83.89725494384766","83.89725494384766","83.89725494384766","38.99013137817383","38.99013137817383","38.99013137817383","84.92230224609375","84.92230224609375","84.92230224609375","42.60542678833008","42.60542678833008","42.60542678833008","36.15866470336914","36.15866470336914","36.15866470336914","189.841552734375","189.841552734375","189.841552734375","187.88967895507812","187.88967895507812","187.88967895507812","63.09922409057617","63.09922409057617","63.09922409057617","188.82754516601562","188.82754516601562","188.82754516601562","49.579410552978516","49.579410552978516","49.579410552978516"
"19","-8.087421417236328","-8.087421417236328","-8.087421417236328","-6.43306303024292","-6.43306303024292","-6.43306303024292","188.79022216796875","188.79022216796875","188.79022216796875","48.98500442504883","48.98500442504883","48.98500442504883","187.67919921875","187.67919921875","187.67919921875","62.581302642822266","62.581302642822266","62.581302642822266","36.12644958496094","36.12644958496094","36.12644958496094","189.8217315673828","189.8217315673828","189.8217315673828","83.83761596679688","83.83761596679688","83.83761596679688","38.827964782714844","38.827964782714844","38.827964782714844","84.6575698852539","84.6575698852539","84.6575698852539","42.63254165649414","42.63254165649414","42.63254165649414","36.25965118408203","36.25965118408203","36.25965118408203","189.840576171875","189.840576171875","189.840576171875","187.8885040283203","187.8885040283203","187.8885040283203","62.94477844238281","62.94477844238281","62.94477844238281","188.8260955810547","188.8260955810547","188.8260955810547","49.61560821533203","49.61560821533203","49.61560821533203"
