"Step","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean__MAX","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean__MAX","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean__MAX","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean__MIN","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean__MAX","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean__MIN","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean__MAX"
"10","-6.379705429077148","-6.379705429077148","-6.379705429077148","188.80490112304688","188.80490112304688","188.80490112304688","49.28566360473633","49.28566360473633","49.28566360473633","42.52631378173828","42.52631378173828","42.52631378173828","188.8382110595703","188.8382110595703","188.8382110595703","49.50349426269531","49.50349426269531","49.50349426269531"
"11","-6.385645866394043","-6.385645866394043","-6.385645866394043","188.8032684326172","188.8032684326172","188.8032684326172","49.257667541503906","49.257667541503906","49.257667541503906","42.557647705078125","42.557647705078125","42.557647705078125","188.8398895263672","188.8398895263672","188.8398895263672","49.54926681518555","49.54926681518555","49.54926681518555"
"12","-6.388667106628418","-6.388667106628418","-6.388667106628418","188.80194091796875","188.80194091796875","188.80194091796875","49.233978271484375","49.233978271484375","49.233978271484375","42.588279724121094","42.588279724121094","42.588279724121094","188.84034729003906","188.84034729003906","188.84034729003906","49.54497528076172","49.54497528076172","49.54497528076172"
"13","-6.395133972167969","-6.395133972167969","-6.395133972167969","188.79949951171875","188.79949951171875","188.79949951171875","49.1519775390625","49.1519775390625","49.1519775390625","42.56589889526367","42.56589889526367","42.56589889526367","188.8377685546875","188.8377685546875","188.8377685546875","49.59168243408203","49.59168243408203","49.59168243408203"
"14","-6.399874687194824","-6.399874687194824","-6.399874687194824","188.79881286621094","188.79881286621094","188.79881286621094","49.12248229980469","49.12248229980469","49.12248229980469","42.5789680480957","42.5789680480957","42.5789680480957","188.83908081054688","188.83908081054688","188.83908081054688","49.68202209472656","49.68202209472656","49.68202209472656"
"15","-6.409701824188232","-6.409701824188232","-6.409701824188232","188.79574584960938","188.79574584960938","188.79574584960938","49.0872917175293","49.0872917175293","49.0872917175293","42.582923889160156","42.582923889160156","42.582923889160156","188.8354034423828","188.8354034423828","188.8354034423828","49.637935638427734","49.637935638427734","49.637935638427734"
"16","-6.417709827423096","-6.417709827423096","-6.417709827423096","188.7945556640625","188.7945556640625","188.7945556640625","49.0240478515625","49.0240478515625","49.0240478515625","42.609439849853516","42.609439849853516","42.609439849853516","188.83555603027344","188.83555603027344","188.83555603027344","49.657344818115234","49.657344818115234","49.657344818115234"
"17","-6.422356605529785","-6.422356605529785","-6.422356605529785","188.7920379638672","188.7920379638672","188.7920379638672","49.00178909301758","49.00178909301758","49.00178909301758","42.593727111816406","42.593727111816406","42.593727111816406","188.83306884765625","188.83306884765625","188.83306884765625","49.60757064819336","49.60757064819336","49.60757064819336"
"18","-6.42435884475708","-6.42435884475708","-6.42435884475708","188.7916259765625","188.7916259765625","188.7916259765625","48.9911994934082","48.9911994934082","48.9911994934082","42.60542678833008","42.60542678833008","42.60542678833008","188.82754516601562","188.82754516601562","188.82754516601562","49.579410552978516","49.579410552978516","49.579410552978516"
"19","-6.43306303024292","-6.43306303024292","-6.43306303024292","188.79022216796875","188.79022216796875","188.79022216796875","48.98500442504883","48.98500442504883","48.98500442504883","42.63254165649414","42.63254165649414","42.63254165649414","188.8260955810547","188.8260955810547","188.8260955810547","49.61560821533203","49.61560821533203","49.61560821533203"
